TIPO,CANAL,CATEGORIA,SUBCATEGORIA,Incluir,otc4_code,Category,SubCategory,Segment,PRESENTACION,PRODUCTO,BRAND,LABORATORIO,ETICO/POPULAR,FCC,MTH - 202103,MTH - 202104,MTH - 202105,MTH - 202106,MTH - 202107,MTH - 202108,MTH - 202109,MTH - 202110,MTH - 202111,MTH - 202112,MTH - 202201,MTH - 202202,MTH - 202203,MTH - 202204,MTH - 202205,MTH - 202206,MTH - 202207,MTH - 202208,MTH - 202209,MTH - 202210,MTH - 202211,MTH - 202212,MTH - 202301,MTH - 202302, MTH Actual , MTH Anterior , MAT Actual , MAT Anterior , YTD Actual , YTD Anterior , QTR Actual , QTR Anterior 
SPRAY,INDIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL AVENE AERO 150ML x 1                             ,AGUA TERMAL AVENE (P.F)  ,AGUA TERMAL AVENE (P.F)  ,PIERRE FABRE      ,POPULAR                  ,37730,642578,755917,557640,482334,549899,356884,975810,1694888,1203667,2758367,1793149,1195849,806307,790504,2091590,1225822,1775660,1430948,2539234,1831495,2006695,3565204,2207453,3281316," 3,281,316.00 "," 1,195,849.00 "," 23,552,228.00 "," 12,966,982.00 "," 5,488,769.00 "," 2,988,998.00 "," 9,053,973.00 "," 5,747,365.00 "
CREMA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1B,PH Body,PH Body Care,NO,AKERAT CREMA 200ML x 1                                       ,AKERAT (P.F)             ,AKERAT (P.F)             ,PIERRE FABRE      ,POPULAR                  ,37731,103402,73344,76102,57793,14601,89670,74982,30298,27658,42600,13278,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   ," 603,728.00 ", -   ," 13,278.00 ", -   ," 55,878.00 "
CREMA,DIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82B1C,PH Face,PH Face Care excl. Acne,PH Hypersensitive,COLD CREAM CREMA 40ML x 1                                    ,COLD CREAM (P.F)         ,COLD CREAM (P.F)         ,PIERRE FABRE      ,POPULAR                  ,37740,1691932,1576729,2094461,1841518,2052639,1764224,1153244,1270530,939009,570411,422026,131927,60702,36975,64494,11171,70267,10224,0,12340,0,11312,10675,2587," 2,587.00 "," 131,927.00 "," 290,747.00 "," 15,508,650.00 "," 13,262.00 "," 553,953.00 "," 24,574.00 "," 1,124,364.00 "
CREMA,INDIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82B1C,PH Face,PH Face Care excl. Acne,PH Hypersensitive,COLD CREAM CREMA 40ML x 1                                    ,COLD CREAM (P.F)         ,COLD CREAM (P.F)         ,PIERRE FABRE      ,POPULAR                  ,37740,21973,57127,115080,78124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   ," 272,304.00 ", -   , -   , -   , -   
CREMA,DIRECTO,ROSTRO,ULTRASENSITIVE,Incluir,82B1C,PH Face,PH Face Care excl. Acne,PH Hypersensitive,CREM.PIEL INTOLERA CREMA 40ML x 1                            ,CREM.PIEL INTOLERA (P.F) ,CREM.PIEL INTOLERA (P.F) ,PIERRE FABRE      ,POPULAR                  ,37741,0,0,0,0,0,0,0,0,14487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   ," 14,487.00 ", -   , -   , -   , -   
CREMA,INDIRECTO,ROSTRO,HIDRATANTE,Incluir,82A5&,PH Face,PH Face Care excl. Acne,PH Nourishing,AVENE CR COMPENSAD 40ML x 1                                  ,AVENE (P.F)              ,AVENE (P.F)              ,PIERRE FABRE      ,POPULAR                  ,37742,75156,19642,36530,18880,19833,0,37161,18548,0,40276,0,298475,79698,136672,0,38682,58089,196820,0,0,0,106055,112691,205850," 205,850.00 "," 298,475.00 "," 934,557.00 "," 564,501.00 "," 318,541.00 "," 298,475.00 "," 424,596.00 "," 338,751.00 "
CREMA,DIRECTO,ROSTRO,HIDRATANTE,Incluir,82A5&,PH Face,PH Face Care excl. Acne,PH Nourishing,AVENE CR COMPENSAD 40ML x 1                                  ,AVENE (P.F)              ,AVENE (P.F)              ,PIERRE FABRE      ,POPULAR                  ,37742,4997878,6344535,8201122,7722114,7219212,7340078,8528609,9181569,7903136,9042336,7015761,4497020,5758215,5994105,7477979,6846846,6157501,7264489,7293073,7729064,6766706,8017758,6445995,4986146," 4,986,146.00 "," 4,497,020.00 "," 80,737,877.00 "," 87,993,370.00 "," 11,432,141.00 "," 11,512,781.00 "," 19,449,899.00 "," 20,555,117.00 "
GEL,DIRECTO,ROSTRO,ANTIARRUGAS,Incluir,83A1D,PH Face,PH Acne,PH Acne Care,NEOSTRATA GEL. 15.0% 100ML x 1 FORT                          ,NEOSTRATA (M7E)          ,NEOSTRATA (M7E)          ,MEDSTYLE          ,POPULAR                  ,37940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   , -   , -   , -   
GEL,INDIRECTO,ROSTRO,ANTIARRUGAS,Incluir,83A1D,PH Face,PH Acne,PH Acne Care,NEOSTRATA GEL. 15.0% 100ML x 1 FORT                          ,NEOSTRATA (M7E)          ,NEOSTRATA (M7E)          ,MEDSTYLE          ,POPULAR                  ,37940,0,0,0,0,49886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   ," 49,886.00 ", -   , -   , -   , -   
LIMPIEZA,DIRECTO,ROSTRO,PIEL GRASA,Incluir,83A3A,PH Face,PH Acne,PH Acne Cleansing,CLEANANCE GEL. 200ML x 1                                     ,CLEANANCE (P.F)          ,CLEANANCE (P.F)          ,PIERRE FABRE      ,POPULAR                  ,38374,20570660,28480896,28710160,20339903,28207952,19872663,16137825,22915241,15229362,14379668,11598042,12462392,10294006,9482968,13345436,17574579,21232957,23209196,10686278,12654655,9375578,12442941,9562596,10915353," 10,915,353.00 "," 12,462,392.00 "," 160,776,543.00 "," 238,904,764.00 "," 20,477,949.00 "," 24,060,434.00 "," 32,920,890.00 "," 38,440,102.00 "
LIMPIEZA,INDIRECTO,ROSTRO,PIEL GRASA,Incluir,83A3A,PH Face,PH Acne,PH Acne Cleansing,CLEANANCE GEL. 200ML x 1                                     ,CLEANANCE (P.F)          ,CLEANANCE (P.F)          ,PIERRE FABRE      ,POPULAR                  ,38374,94648,254776,288640,306574,327893,477996,316815,177945,368813,298681,495447,411084,397098,558849,349071,599289,77981,405320,312711,361839,208342,267850,498453,949736," 949,736.00 "," 411,084.00 "," 4,986,539.00 "," 3,819,312.00 "," 1,448,189.00 "," 906,531.00 "," 1,716,039.00 "," 1,205,212.00 "
CREMA,DIRECTO,ROSTRO,ANTIARRUGAS,Incluir,82B5A,PH Face,PH Face Care excl. Acne,PH Anti-Age,YSTHEAL CREMA 0.05% 30ML x 1                                 ,YSTHEAL (P.F)            ,YSTHEAL (P.F)            ,PIERRE FABRE      ,POPULAR                  ,38399,267910,85948,0,0,43802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57380,0, -   , -   ," 57,380.00 "," 397,660.00 "," 57,380.00 ", -   ," 57,380.00 ", -   
MANOS,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,83D1&,PH Body,PH Hand Care,NO,EUCERIN PH5 CREMA MANOS 75ML x 1                             ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,38511,46945988,43642092,64910055,61058421,86666729,106578991,51143543,45172823,42334071,55502114,31889833,33233849,61628319,52749712,53195685,44752614,41149357,68555097,43011479,39713346,30824922,38059102,22930313,20898003," 20,898,003.00 "," 33,233,849.00 "," 517,467,949.00 "," 669,078,509.00 "," 43,828,316.00 "," 65,123,682.00 "," 81,887,418.00 "," 120,625,796.00 "
MANOS,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,83D1&,PH Body,PH Hand Care,NO,EUCERIN PH5 CREMA MANOS 75ML x 1                             ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,38511,3998938,7008062,5702049,7040731,11541368,4479490,166127,8494508,588864,3678844,5926705,4248722,5291622,5654289,7840291,7707161,5320245,9493237,5842064,5540561,7189663,4798032,4192225,3345833," 3,345,833.00 "," 4,248,722.00 "," 72,215,223.00 "," 62,874,408.00 "," 7,538,058.00 "," 10,175,427.00 "," 12,336,090.00 "," 13,854,271.00 "
CREMA,INDIRECTO,ROSTRO,ULTRASENSITIVE,Incluir,82B1D,PH Face,PH Face Care excl. Acne,PH Hypersensitive,RUBORIL CREMA DERM. 30G x 1                                  ,RUBORIL (DB&)            ,RUBORIL (DB&)            ,DISPOLAB          ,POPULAR                  ,38866,29376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   ," 29,376.00 ", -   , -   , -   , -   
CREMA,DIRECTO,ROSTRO,ULTRASENSITIVE,Incluir,82B1D,PH Face,PH Face Care excl. Acne,PH Hypersensitive,RUBORIL CREMA DERM. 30G x 1                                  ,RUBORIL (DB&)            ,RUBORIL (DB&)            ,DISPOLAB          ,POPULAR                  ,38866,0,46985,0,14142,13384,0,13980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   ," 88,491.00 ", -   , -   , -   , -   
CREMA,INDIRECTO,ROSTRO,ANTIARRUGAS,Incluir,82B5A,PH Face,PH Face Care excl. Acne,PH Anti-Age,GLICOISDIN CREMA 8% 50ML x 1                                 ,GLICOISDIN (ISD)         ,GLICOISDIN (ISD)         ,ISDIN             ,POPULAR                  ,38879,340060,99495,340164,207120,344460,263792,752972,276016,240163,345591,344445,203581,446815,697147,205014,305282,136041,230356,64340,355300,490816,171666,515019,198320," 198,320.00 "," 203,581.00 "," 3,816,116.00 "," 3,757,859.00 "," 713,339.00 "," 548,026.00 "," 885,005.00 "," 893,617.00 "
CREMA,DIRECTO,ROSTRO,ANTIARRUGAS,Incluir,82B5A,PH Face,PH Face Care excl. Acne,PH Anti-Age,GLICOISDIN CREMA 8% 50ML x 1                                 ,GLICOISDIN (ISD)         ,GLICOISDIN (ISD)         ,ISDIN             ,POPULAR                  ,38879,15744778,17909407,17790817,18606284,18945386,21070629,17729089,18182601,16708622,16104567,15086776,11502447,16566689,16432783,16401147,13975371,15406838,16256738,15892366,15504029,15182599,15999400,13871268,11767067," 11,767,067.00 "," 11,502,447.00 "," 183,256,295.00 "," 205,381,403.00 "," 25,638,335.00 "," 26,589,223.00 "," 41,637,735.00 "," 42,693,790.00 "
SIN TIPO,DIRECTO,CUERPO,BABY,No Incluir,88A4&,NULL,NULL,NULL,EUCERIN BABY MOM CHMP. BANO 250ML x 1                        ,EUCERIN BABY MOM (BEI)   ,EUCERIN BABY MOM (BEI)   ,BEIERSDORF        ,POPULAR                  ,39113,0,0,6918,0,0,7580,0,0,0,0,7967,0,0,0,0,0,0,0,0,0,0,0,0,9055," 9,055.00 ", -   ," 9,055.00 "," 22,465.00 "," 9,055.00 "," 7,967.00 "," 9,055.00 "," 7,967.00 "
CREMA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F2A,PH Body,PH Body Care,NO,EUCERIN BABY MOM CREMA ANTIES 100ML x 1                      ,EUCERIN BABY MOM (BEI)   ,EUCERIN BABY MOM (BEI)   ,BEIERSDORF        ,POPULAR                  ,39114,0,0,0,0,0,0,0,0,10536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   ," 10,536.00 ", -   , -   , -   , -   
LIMPIEZA,INDIRECTO,CUERPO,PIEL ATÓPICA,Incluir,85A2B,PH Body Cleansing,PH Soap,PH Soap,NEOLUCID LOC.LIMP. 250ML x 1                                 ,NEOLUCID (S7F)           ,NEOLUCID (S7F)           ,SMB FARMA         ,POPULAR                  ,39276,6288263,5217816,5640153,4496055,5956768,4989604,4345954,4414074,6099797,3848439,5026734,3059138,4617160,3822254,4305279,4722552,3963643,5000398,4098676,4317422,5334503,3435476,3471237,3104244," 3,104,244.00 "," 3,059,138.00 "," 50,192,844.00 "," 59,382,795.00 "," 6,575,481.00 "," 8,085,872.00 "," 10,010,957.00 "," 11,934,311.00 "
LIMPIEZA,DIRECTO,CUERPO,PIEL ATÓPICA,Incluir,85A2B,PH Body Cleansing,PH Soap,PH Soap,NEOLUCID LOC.LIMP. 250ML x 1                                 ,NEOLUCID (S7F)           ,NEOLUCID (S7F)           ,SMB FARMA         ,POPULAR                  ,39276,66165428,73103210,77358223,80322459,88640777,96809696,90774213,92068821,88862772,79215002,79115337,65201874,77751265,71641907,81995029,75953802,80487009,87626384,85703837,92518329,82589100,79427055,80314900,65959786," 65,959,786.00 "," 65,201,874.00 "," 961,968,403.00 "," 977,637,812.00 "," 146,274,686.00 "," 144,317,211.00 "," 225,701,741.00 "," 223,532,213.00 "
LOCIÓN,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1C,PH Body,PH Body Care,NO,NEOLUCID PH5 LOC.HUMECT. 250ML x 1                           ,NEOLUCID PH5 (S7F)       ,NEOLUCID PH5 (S7F)       ,SMB FARMA         ,POPULAR                  ,39277,2255507,2210318,2716407,2867633,3348267,2780234,3004177,3595303,2971173,2958425,2516331,2252020,2735668,2496750,2863246,2258892,2854803,2974373,2498662,3225084,3040469,2607012,2739796,2234715," 2,234,715.00 "," 2,252,020.00 "," 32,529,470.00 "," 33,475,795.00 "," 4,974,511.00 "," 4,768,351.00 "," 7,581,523.00 "," 7,726,776.00 "
LOCIÓN,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1C,PH Body,PH Body Care,NO,NEOLUCID PH5 LOC.HUMECT. 250ML x 1                           ,NEOLUCID PH5 (S7F)       ,NEOLUCID PH5 (S7F)       ,SMB FARMA         ,POPULAR                  ,39277,1066557,591879,991997,626148,791752,957737,1054759,570673,855928,1065408,988559,802805,826820,1028661,880222,202446,895235,883172,648185,752170,633875,705426,687677,577035," 577,035.00 "," 802,805.00 "," 8,720,924.00 "," 10,364,202.00 "," 1,264,712.00 "," 1,791,364.00 "," 1,970,138.00 "," 2,856,772.00 "
SPRAY,INDIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL RPOSAY SPRAY 150ML x 1                           ,AGUA TERMAL RPOSAY (LRP) ,AGUA TERMAL RPOSAY (LRP) ,LA ROCHE POSAY    ,POPULAR                  ,39575,403739,76048,864497,749734,387526,314719,123721,22578,570262,246169,416627,939428,471056,828275,892141,476840,699459,835890,487860,413199,416152,189907,22844,0, -   ," 939,428.00 "," 5,733,623.00 "," 5,115,048.00 "," 22,844.00 "," 1,356,055.00 "," 212,751.00 "," 1,602,224.00 "
SPRAY,DIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL RPOSAY SPRAY 150ML x 1                           ,AGUA TERMAL RPOSAY (LRP) ,AGUA TERMAL RPOSAY (LRP) ,LA ROCHE POSAY    ,POPULAR                  ,39575,13475052,6605402,11479260,16716302,16398230,16897318,11506372,8038393,17320590,29093506,13838839,11821346,14064498,10988586,11377879,9514211,11702202,15365138,16047604,19856249,19154279,15080991,3917956,1729027," 1,729,027.00 "," 11,821,346.00 "," 148,798,620.00 "," 173,190,610.00 "," 5,646,983.00 "," 25,660,185.00 "," 20,727,974.00 "," 54,753,691.00 "
LIMPIEZA,DIRECTO,ROSTRO,PIEL GRASA,No Incluir,98A2Z,NULL,NULL,NULL,EFFACLAR GEL. 150ML x 1                                      ,EFFACLAR (LRP)           ,EFFACLAR (LRP)           ,LA ROCHE POSAY    ,POPULAR                  ,39584,0,0,0,0,0,8843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   ," 8,843.00 ", -   , -   , -   , -   
EMULSIÓN,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1Z,PH Body,PH Body Care,NO,LIPIKAR EMULS 200ML x 1                                      ,LIPIKAR (LRP)            ,LIPIKAR (LRP)            ,LA ROCHE POSAY    ,POPULAR                  ,39594,0,0,0,0,0,0,0,0,0,0,14606,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   ," 14,606.00 ", -   ," 14,606.00 ", -   ," 14,606.00 "
LIMPIEZA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,83A3A,PH Face,PH Acne,PH Acne Cleansing,LIPIKAR SURGRAS JABON 150G x 1                               ,LIPIKAR SURGRAS (LRP)    ,LIPIKAR SURGRAS (LRP)    ,LA ROCHE POSAY    ,POPULAR                  ,39608,978189,517978,490883,515319,287032,351424,212206,137032,150243,78408,63736,20904,16796,21136,21964,30708,0,0,29884,35476,29677,9898,22684,3881," 3,881.00 "," 20,904.00 "," 222,104.00 "," 3,803,354.00 "," 26,565.00 "," 84,640.00 "," 36,463.00 "," 163,048.00 "
EMULSIÓN,DIRECTO,ROSTRO,ULTRASENSITIVE,Incluir,82F1Z,PH Body,PH Body Care,NO,TOLERIANE DER.NETT EMULS 200ML x 1                           ,TOLERIANE DER.NETT (LRP) ,TOLERIANE DER.NETT (LRP) ,LA ROCHE POSAY    ,POPULAR                  ,39611,6994693,6830109,6518552,7431881,7895758,8964340,6714764,4459671,8574765,7379472,5049214,6402000,6913415,6584146,6871213,5366709,6374004,7009322,6925572,7639419,5117561,3852747,1780382,2711766," 2,711,766.00 "," 6,402,000.00 "," 67,146,256.00 "," 83,215,219.00 "," 4,492,148.00 "," 11,451,214.00 "," 8,344,895.00 "," 18,830,686.00 "
EMULSIÓN,INDIRECTO,ROSTRO,ULTRASENSITIVE,Incluir,82F1Z,PH Body,PH Body Care,NO,TOLERIANE DER.NETT EMULS 200ML x 1                           ,TOLERIANE DER.NETT (LRP) ,TOLERIANE DER.NETT (LRP) ,LA ROCHE POSAY    ,POPULAR                  ,39611,0,0,0,0,203255,62360,0,0,78957,0,0,192060,82695,33422,34100,34074,16177,97804,33216,66574,16724,50694,17627,33273," 33,273.00 "," 192,060.00 "," 516,380.00 "," 536,632.00 "," 50,900.00 "," 192,060.00 "," 101,594.00 "," 192,060.00 "
GEL,DIRECTO,ROSTRO,ANTIARRUGAS,Incluir,82F1D,PH Body,PH Body Care,NO,NEOSOLETS GEL. 15.0% 100ML x 1                               ,NEOSOLETS (S7F)          ,NEOSOLETS (S7F)          ,SMB FARMA         ,POPULAR                  ,39818,454787,349575,553419,618642,351589,286782,288500,433350,234434,214487,266859,0,31011,0,31574,0,0,84702,218085,154250,155814,84843,156125,369939," 369,939.00 ", -   ," 1,286,343.00 "," 4,052,424.00 "," 526,064.00 "," 266,859.00 "," 610,907.00 "," 481,346.00 "
SPRAY,DIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL AVENE AERO 300ML x 1                             ,AGUA TERMAL AVENE (P.F)  ,AGUA TERMAL AVENE (P.F)  ,PIERRE FABRE      ,POPULAR                  ,40163,27985585,29092366,35336645,38667367,30316888,39092406,38938745,50941040,47885607,41242626,33115563,31448408,34584668,28072181,31883004,28608403,29888249,35807817,38564660,51243972,51792543,50799397,51055825,52794928," 52,794,928.00 "," 31,448,408.00 "," 485,095,647.00 "," 444,063,246.00 "," 103,850,753.00 "," 64,563,971.00 "," 154,650,150.00 "," 105,806,597.00 "
SPRAY,INDIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL AVENE AERO 300ML x 1                             ,AGUA TERMAL AVENE (P.F)  ,AGUA TERMAL AVENE (P.F)  ,PIERRE FABRE      ,POPULAR                  ,40163,909368,352324,645185,608130,861268,925027,1353470,1579852,1835859,1605123,1977440,1252488,1219701,1075257,1242183,809540,1250385,1048160,1393725,1447482,2215940,2761651,3502066,3084968," 3,084,968.00 "," 1,252,488.00 "," 21,051,058.00 "," 13,905,534.00 "," 6,587,034.00 "," 3,229,928.00 "," 9,348,685.00 "," 4,835,051.00 "
GEL,DIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82B1C,PH Face,PH Face Care excl. Acne,PH Hypersensitive,SUAVIGEL GEL. 30ML x 1                                       ,SUAVIGEL (DB&)           ,SUAVIGEL (DB&)           ,DISPOLAB          ,POPULAR                  ,40262,8397369,7986720,8903132,9150449,9985900,9828573,9341290,10339944,9475391,8994445,8344587,6823380,7655520,7621129,8457351,7561639,9026442,10541484,10801519,10777879,8812423,9242493,8758539,8085778," 8,085,778.00 "," 6,823,380.00 "," 107,342,196.00 "," 107,571,180.00 "," 16,844,317.00 "," 15,167,967.00 "," 26,086,810.00 "," 24,162,412.00 "
