TIPO,CANAL,CATEGORIA,SUBCATEGORIA,Incluir,otc4_code,Category,SubCategory,Segment,PRESENTACION,PRODUCTO,BRAND,LABORATORIO,ETICO/POPULAR,FCC,MTH - 202103,MTH - 202104,MTH - 202105,MTH - 202106,MTH - 202107,MTH - 202108,MTH - 202109,MTH - 202110,MTH - 202111,MTH - 202112,MTH - 202201,MTH - 202202,MTH - 202203,MTH - 202204,MTH - 202205,MTH - 202206,MTH - 202207,MTH - 202208,MTH - 202209,MTH - 202210,MTH - 202211,MTH - 202212,MTH - 202301,MTH - 202302, MTH Actual , MTH Anterior , MAT Actual , MAT Anterior , YTD Actual , YTD Anterior , QTR Actual , QTR Anterior 
SPRAY,INDIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL AVENE AERO 150ML x 1                             ,AGUA TERMAL AVENE (P.F)  ,AGUA TERMAL AVENE (P.F)  ,PIERRE FABRE      ,POPULAR                  ,37730,74,86,65,57,69,41,110,172,136,318,213,113,82,88,243,133,184,157,253,164,191,378,196,276, 276.00 , 113.00 ," 2,345.00 "," 1,454.00 ", 472.00 , 326.00 , 850.00 , 644.00 
CREMA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1B,PH Body,PH Body Care,NO,AKERAT CREMA 200ML x 1                                       ,AKERAT (P.F)             ,AKERAT (P.F)             ,PIERRE FABRE      ,POPULAR                  ,37731,8,8,10,8,1,6,5,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , 54.00 , -   , 1.00 , -   , 4.00 
CREMA,DIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82B1C,PH Face,PH Face Care excl. Acne,PH Hypersensitive,COLD CREAM CREMA 40ML x 1                                    ,COLD CREAM (P.F)         ,COLD CREAM (P.F)         ,PIERRE FABRE      ,POPULAR                  ,37740,154,138,182,165,186,162,118,114,83,52,37,11,6,3,6,1,6,1,0,1,0,1,1,1, 1.00 , 11.00 , 27.00 ," 1,402.00 ", 2.00 , 48.00 , 3.00 , 100.00 
CREMA,INDIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82B1C,PH Face,PH Face Care excl. Acne,PH Hypersensitive,COLD CREAM CREMA 40ML x 1                                    ,COLD CREAM (P.F)         ,COLD CREAM (P.F)         ,PIERRE FABRE      ,POPULAR                  ,37740,2,5,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , 24.00 , -   , -   , -   , -   
CREMA,DIRECTO,ROSTRO,ULTRASENSITIVE,Incluir,82B1C,PH Face,PH Face Care excl. Acne,PH Hypersensitive,CREM.PIEL INTOLERA CREMA 40ML x 1                            ,CREM.PIEL INTOLERA (P.F) ,CREM.PIEL INTOLERA (P.F) ,PIERRE FABRE      ,POPULAR                  ,37741,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , 1.00 , -   , -   , -   , -   
CREMA,INDIRECTO,ROSTRO,HIDRATANTE,Incluir,82A5&,PH Face,PH Face Care excl. Acne,PH Nourishing,AVENE CR COMPENSAD 40ML x 1                                  ,AVENE (P.F)              ,AVENE (P.F)              ,PIERRE FABRE      ,POPULAR                  ,37742,4,1,2,1,1,0,2,1,0,2,0,15,4,7,0,2,3,11,0,0,0,5,5,9, 9.00 , 15.00 , 46.00 , 29.00 , 14.00 , 15.00 , 19.00 , 17.00 
CREMA,DIRECTO,ROSTRO,HIDRATANTE,Incluir,82A5&,PH Face,PH Face Care excl. Acne,PH Nourishing,AVENE CR COMPENSAD 40ML x 1                                  ,AVENE (P.F)              ,AVENE (P.F)              ,PIERRE FABRE      ,POPULAR                  ,37742,266,323,449,409,364,378,459,495,417,449,352,226,289,307,405,354,318,406,397,393,329,378,286,218, 218.00 , 226.00 ," 4,080.00 "," 4,587.00 ", 504.00 , 578.00 , 882.00 ," 1,027.00 "
GEL,DIRECTO,ROSTRO,ANTIARRUGAS,Incluir,83A1D,PH Face,PH Acne,PH Acne Care,NEOSTRATA GEL. 15.0% 100ML x 1 FORT                          ,NEOSTRATA (M7E)          ,NEOSTRATA (M7E)          ,MEDSTYLE          ,POPULAR                  ,37940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   , -   , -   , -   
GEL,INDIRECTO,ROSTRO,ANTIARRUGAS,Incluir,83A1D,PH Face,PH Acne,PH Acne Care,NEOSTRATA GEL. 15.0% 100ML x 1 FORT                          ,NEOSTRATA (M7E)          ,NEOSTRATA (M7E)          ,MEDSTYLE          ,POPULAR                  ,37940,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , 1.00 , -   , -   , -   , -   
LIMPIEZA,DIRECTO,ROSTRO,PIEL GRASA,Incluir,83A3A,PH Face,PH Acne,PH Acne Cleansing,CLEANANCE GEL. 200ML x 1                                     ,CLEANANCE (P.F)          ,CLEANANCE (P.F)          ,PIERRE FABRE      ,POPULAR                  ,38374,1956,3130,2785,1924,3355,1954,1630,2833,1693,1348,1030,1152,1011,1086,1491,2522,2995,2863,991,1294,810,1022,729,816, 816.00 ," 1,152.00 "," 17,630.00 "," 24,790.00 "," 1,545.00 "," 2,182.00 "," 2,567.00 "," 3,530.00 "
LIMPIEZA,INDIRECTO,ROSTRO,PIEL GRASA,Incluir,83A3A,PH Face,PH Acne,PH Acne Cleansing,CLEANANCE GEL. 200ML x 1                                     ,CLEANANCE (P.F)          ,CLEANANCE (P.F)          ,PIERRE FABRE      ,POPULAR                  ,38374,9,28,28,29,39,47,32,22,41,28,44,38,39,64,39,86,11,50,29,37,18,22,38,71, 71.00 , 38.00 , 504.00 , 385.00 , 109.00 , 82.00 , 131.00 , 110.00 
CREMA,DIRECTO,ROSTRO,ANTIARRUGAS,Incluir,82B5A,PH Face,PH Face Care excl. Acne,PH Anti-Age,YSTHEAL CREMA 0.05% 30ML x 1                                 ,YSTHEAL (P.F)            ,YSTHEAL (P.F)            ,PIERRE FABRE      ,POPULAR                  ,38399,10,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0, -   , -   , 2.00 , 18.00 , 2.00 , -   , 2.00 , -   
MANOS,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,83D1&,PH Body,PH Hand Care,NO,EUCERIN PH5 CREMA MANOS 75ML x 1                             ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,38511,6175,5231,7775,7380,10190,13990,5849,5504,5176,6608,3788,4044,8397,6633,7097,5795,5097,9294,5161,4573,3670,4212,2527,2311," 2,311.00 "," 4,044.00 "," 64,767.00 "," 81,710.00 "," 4,838.00 "," 7,832.00 "," 9,050.00 "," 14,440.00 "
MANOS,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,83D1&,PH Body,PH Hand Care,NO,EUCERIN PH5 CREMA MANOS 75ML x 1                             ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,38511,526,840,683,851,1357,588,19,1035,72,438,704,517,721,711,1046,998,659,1287,701,638,856,531,462,370, 370.00 , 517.00 ," 8,980.00 "," 7,630.00 ", 832.00 ," 1,221.00 "," 1,363.00 "," 1,659.00 "
CREMA,INDIRECTO,ROSTRO,ULTRASENSITIVE,Incluir,82B1D,PH Face,PH Face Care excl. Acne,PH Hypersensitive,RUBORIL CREMA DERM. 30G x 1                                  ,RUBORIL (DB&)            ,RUBORIL (DB&)            ,DISPOLAB          ,POPULAR                  ,38866,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , 2.00 , -   , -   , -   , -   
CREMA,DIRECTO,ROSTRO,ULTRASENSITIVE,Incluir,82B1D,PH Face,PH Face Care excl. Acne,PH Hypersensitive,RUBORIL CREMA DERM. 30G x 1                                  ,RUBORIL (DB&)            ,RUBORIL (DB&)            ,DISPOLAB          ,POPULAR                  ,38866,0,4,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , 9.00 , -   , -   , -   , -   
CREMA,INDIRECTO,ROSTRO,ANTIARRUGAS,Incluir,82B5A,PH Face,PH Face Care excl. Acne,PH Anti-Age,GLICOISDIN CREMA 8% 50ML x 1                                 ,GLICOISDIN (ISD)         ,GLICOISDIN (ISD)         ,ISDIN             ,POPULAR                  ,38879,10,3,10,6,10,8,22,8,7,10,10,6,13,21,6,9,4,7,2,11,15,5,15,6, 6.00 , 6.00 , 114.00 , 110.00 , 21.00 , 16.00 , 26.00 , 26.00 
CREMA,DIRECTO,ROSTRO,ANTIARRUGAS,Incluir,82B5A,PH Face,PH Face Care excl. Acne,PH Anti-Age,GLICOISDIN CREMA 8% 50ML x 1                                 ,GLICOISDIN (ISD)         ,GLICOISDIN (ISD)         ,ISDIN             ,POPULAR                  ,38879,463,540,523,539,550,639,518,527,487,466,438,339,482,495,480,412,453,494,494,480,464,466,404,356, 356.00 , 339.00 ," 5,480.00 "," 6,029.00 ", 760.00 , 777.00 ," 1,226.00 "," 1,243.00 "
SIN TIPO,DIRECTO,CUERPO,BABY,no incluir,88A4&,NULL,NULL,NULL,EUCERIN BABY MOM CHMP. BANO 250ML x 1                        ,EUCERIN BABY MOM (BEI)   ,EUCERIN BABY MOM (BEI)   ,BEIERSDORF        ,POPULAR                  ,39113,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1, 1.00 , -   , 1.00 , 4.00 , 1.00 , 1.00 , 1.00 , 1.00 
CREMA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F2A,PH Body,PH Body Care,NO,EUCERIN BABY MOM CREMA ANTIES 100ML x 1                      ,EUCERIN BABY MOM (BEI)   ,EUCERIN BABY MOM (BEI)   ,BEIERSDORF        ,POPULAR                  ,39114,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , 1.00 , -   , -   , -   , -   
LIMPIEZA,INDIRECTO,CUERPO,PIEL ATÓPICA,Incluir,85A2B,PH Body Cleansing,PH Soap,PH Soap,NEOLUCID LOC.LIMP. 250ML x 1                                 ,NEOLUCID (S7F)           ,NEOLUCID (S7F)           ,SMB FARMA         ,POPULAR                  ,39276,613,488,559,452,578,455,416,422,558,365,448,271,430,370,399,433,356,462,378,401,473,318,299,286, 286.00 , 271.00 ," 4,605.00 "," 5,625.00 ", 585.00 , 719.00 , 903.00 ," 1,084.00 "
LIMPIEZA,DIRECTO,CUERPO,PIEL ATÓPICA,Incluir,85A2B,PH Body Cleansing,PH Soap,PH Soap,NEOLUCID LOC.LIMP. 250ML x 1                                 ,NEOLUCID (S7F)           ,NEOLUCID (S7F)           ,SMB FARMA         ,POPULAR                  ,39276,6450,6837,7667,8075,8601,8828,8689,8802,8129,7513,7051,5776,7241,6935,7599,6964,7229,8096,7904,8593,7323,7352,6918,6077," 6,077.00 "," 5,776.00 "," 88,231.00 "," 92,418.00 "," 12,995.00 "," 12,827.00 "," 20,347.00 "," 20,340.00 "
LOCIÓN,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1C,PH Body,PH Body Care,NO,NEOLUCID PH5 LOC.HUMECT. 250ML x 1                           ,NEOLUCID PH5 (S7F)       ,NEOLUCID PH5 (S7F)       ,SMB FARMA         ,POPULAR                  ,39277,258,239,293,316,351,299,319,378,302,311,252,216,268,250,283,212,287,293,239,313,283,255,251,213, 213.00 , 216.00 ," 3,147.00 "," 3,534.00 ", 464.00 , 468.00 , 719.00 , 779.00 
LOCIÓN,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1C,PH Body,PH Body Care,NO,NEOLUCID PH5 LOC.HUMECT. 250ML x 1                           ,NEOLUCID PH5 (S7F)       ,NEOLUCID PH5 (S7F)       ,SMB FARMA         ,POPULAR                  ,39277,122,64,107,69,83,103,112,60,87,112,99,77,81,103,87,19,90,87,62,73,59,69,63,55, 55.00 , 77.00 , 848.00 ," 1,095.00 ", 118.00 , 176.00 , 187.00 , 288.00 
SPRAY,INDIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL RPOSAY SPRAY 150ML x 1                           ,AGUA TERMAL RPOSAY (LRP) ,AGUA TERMAL RPOSAY (LRP) ,LA ROCHE POSAY    ,POPULAR                  ,39575,40,7,79,71,35,29,11,2,51,22,37,84,42,75,77,42,63,76,47,37,38,17,2,0, -   , 84.00 , 516.00 , 468.00 , 2.00 , 121.00 , 19.00 , 143.00 
SPRAY,DIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL RPOSAY SPRAY 150ML x 1                           ,AGUA TERMAL RPOSAY (LRP) ,AGUA TERMAL RPOSAY (LRP) ,LA ROCHE POSAY    ,POPULAR                  ,39575,1335,608,1049,1583,1481,1557,1023,712,1549,2600,1229,1057,1254,995,982,838,1054,1397,1546,1778,1749,1350,343,149, 149.00 ," 1,057.00 "," 13,435.00 "," 15,783.00 ", 492.00 ," 2,286.00 "," 1,842.00 "," 4,886.00 "
LIMPIEZA,DIRECTO,ROSTRO,PIEL GRASA,no incluir,98A2Z,NULL,NULL,NULL,EFFACLAR GEL. 150ML x 1                                      ,EFFACLAR (LRP)           ,EFFACLAR (LRP)           ,LA ROCHE POSAY    ,POPULAR                  ,39584,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , 1.00 , -   , -   , -   , -   
EMULSIÓN,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1Z,PH Body,PH Body Care,NO,LIPIKAR EMULS 200ML x 1                                      ,LIPIKAR (LRP)            ,LIPIKAR (LRP)            ,LA ROCHE POSAY    ,POPULAR                  ,39594,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , 1.00 , -   , 1.00 , -   , 1.00 
LIMPIEZA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,83A3A,PH Face,PH Acne,PH Acne Cleansing,LIPIKAR SURGRAS JABON 150G x 1                               ,LIPIKAR SURGRAS (LRP)    ,LIPIKAR SURGRAS (LRP)    ,LA ROCHE POSAY    ,POPULAR                  ,39608,121,61,58,53,31,38,23,14,16,8,8,2,2,2,2,3,0,0,3,4,4,1,2,1, 1.00 , 2.00 , 24.00 , 433.00 , 3.00 , 10.00 , 4.00 , 18.00 
EMULSIÓN,DIRECTO,ROSTRO,ULTRASENSITIVE,Incluir,82F1Z,PH Body,PH Body Care,NO,TOLERIANE DER.NETT EMULS 200ML x 1                           ,TOLERIANE DER.NETT (LRP) ,TOLERIANE DER.NETT (LRP) ,LA ROCHE POSAY    ,POPULAR                  ,39611,482,456,426,472,505,575,417,284,543,460,314,400,418,394,403,315,394,430,417,459,306,228,101,163, 163.00 , 400.00 ," 4,028.00 "," 5,334.00 ", 264.00 , 714.00 , 492.00 ," 1,174.00 "
EMULSIÓN,INDIRECTO,ROSTRO,ULTRASENSITIVE,Incluir,82F1Z,PH Body,PH Body Care,NO,TOLERIANE DER.NETT EMULS 200ML x 1                           ,TOLERIANE DER.NETT (LRP) ,TOLERIANE DER.NETT (LRP) ,LA ROCHE POSAY    ,POPULAR                  ,39611,0,0,0,0,13,4,0,0,5,0,0,12,5,2,2,2,1,6,2,4,1,3,1,2, 2.00 , 12.00 , 31.00 , 34.00 , 3.00 , 12.00 , 6.00 , 12.00 
GEL,DIRECTO,ROSTRO,ANTIARRUGAS,Incluir,82F1D,PH Body,PH Body Care,NO,NEOSOLETS GEL. 15.0% 100ML x 1                               ,NEOSOLETS (S7F)          ,NEOSOLETS (S7F)          ,SMB FARMA         ,POPULAR                  ,39818,16,12,19,22,12,10,10,15,8,7,9,0,1,0,1,0,0,3,7,5,6,3,5,12, 12.00 , -   , 43.00 , 140.00 , 17.00 , 9.00 , 20.00 , 16.00 
SPRAY,DIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL AVENE AERO 300ML x 1                             ,AGUA TERMAL AVENE (P.F)  ,AGUA TERMAL AVENE (P.F)  ,PIERRE FABRE      ,POPULAR                  ,40163,2185,2312,2848,3052,2288,3085,2992,3966,3756,3109,2445,2310,2637,2193,2541,2191,2223,2733,2850,3611,3576,3311,3149,3166," 3,166.00 "," 2,310.00 "," 34,181.00 "," 34,348.00 "," 6,315.00 "," 4,755.00 "," 9,626.00 "," 7,864.00 "
SPRAY,INDIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL AVENE AERO 300ML x 1                             ,AGUA TERMAL AVENE (P.F)  ,AGUA TERMAL AVENE (P.F)  ,PIERRE FABRE      ,POPULAR                  ,40163,71,28,52,48,65,73,104,123,144,121,146,92,93,84,99,62,93,80,103,102,153,180,216,185, 185.00 , 92.00 ," 1,450.00 "," 1,067.00 ", 401.00 , 238.00 , 581.00 , 359.00 
GEL,DIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82B1C,PH Face,PH Face Care excl. Acne,PH Hypersensitive,SUAVIGEL GEL. 30ML x 1                                       ,SUAVIGEL (DB&)           ,SUAVIGEL (DB&)           ,DISPOLAB          ,POPULAR                  ,40262,727,674,754,756,815,789,750,855,782,727,675,555,623,619,683,605,711,801,862,823,642,669,636,593, 593.00 , 555.00 ," 8,267.00 "," 8,859.00 "," 1,229.00 "," 1,230.00 "," 1,898.00 "," 1,957.00 "
GEL,INDIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82B1C,PH Face,PH Face Care excl. Acne,PH Hypersensitive,SUAVIGEL GEL. 30ML x 1                                       ,SUAVIGEL (DB&)           ,SUAVIGEL (DB&)           ,DISPOLAB          ,POPULAR                  ,40262,50,50,78,46,92,96,80,75,70,40,55,68,49,36,55,38,34,41,44,36,33,55,55,51, 51.00 , 68.00 , 527.00 , 800.00 , 106.00 , 123.00 , 161.00 , 163.00 
CREMA,INDIRECTO,ROSTRO,ANTIARRUGAS,Incluir,82B5A,PH Face,PH Face Care excl. Acne,PH Anti-Age,EUCERIN Q10 CREMA DIA 50ML x 1                               ,EUCERIN Q10 (BEI)        ,EUCERIN Q10 (BEI)        ,BEIERSDORF        ,POPULAR                  ,40394,31,18,26,72,44,18,51,107,10,51,93,30,88,9,77,105,16,55,28,36,40,70,39,38, 38.00 , 30.00 , 601.00 , 551.00 , 77.00 , 123.00 , 147.00 , 174.00 
CREMA,DIRECTO,ROSTRO,ANTIARRUGAS,Incluir,82B5A,PH Face,PH Face Care excl. Acne,PH Anti-Age,EUCERIN Q10 CREMA DIA 50ML x 1                               ,EUCERIN Q10 (BEI)        ,EUCERIN Q10 (BEI)        ,BEIERSDORF        ,POPULAR                  ,40394,172,221,241,198,238,237,288,336,223,351,178,183,231,266,251,217,190,223,304,233,163,249,143,143, 143.00 , 183.00 ," 2,613.00 "," 2,866.00 ", 286.00 , 361.00 , 535.00 , 712.00 
CREMA,DIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A4E,PH Face,PH Face Care excl. Acne,PH Moisture,UREADIN CREMA FACIAL 5% 50ML x 1                             ,UREADIN (ISD)            ,UREADIN (ISD)            ,ISDIN             ,POPULAR                  ,40583,286,313,415,446,438,466,460,592,456,455,403,364,416,435,447,630,428,471,449,565,506,580,493,471, 471.00 , 364.00 ," 5,891.00 "," 5,094.00 ", 964.00 , 767.00 ," 1,544.00 "," 1,222.00 "
CREMA,INDIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A4E,PH Face,PH Face Care excl. Acne,PH Moisture,UREADIN CREMA FACIAL 5% 50ML x 1                             ,UREADIN (ISD)            ,UREADIN (ISD)            ,ISDIN             ,POPULAR                  ,40583,3,2,3,10,11,3,3,7,8,6,4,5,6,5,11,16,5,8,2,8,3,4,11,2, 2.00 , 5.00 , 81.00 , 65.00 , 13.00 , 9.00 , 17.00 , 15.00 
LIMPIEZA,DIRECTO,ROSTRO,PIEL GRASA,Incluir,83A3A,PH Face,PH Acne,PH Acne Cleansing,SEBOLIC JABON LIQUID 200ML x 1                               ,SEBOLIC (MLB)            ,SEBOLIC (MLB)            ,MEGALABS          ,POPULAR                  ,40813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, -   , -   , 1.00 , -   , -   , -   , -   , -   
LIMPIEZA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,85A2B,PH Body Cleansing,PH Soap,PH Soap,EUCERIN PH5 SYND GEL BOM 400ML x 1                           ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,40881,6658,5823,9875,9626,10468,8541,6233,11594,10240,6269,2706,4429,5394,3056,8582,7501,8470,7125,7624,8760,8004,8051,7036,6363," 6,363.00 "," 4,429.00 "," 85,966.00 "," 92,462.00 "," 13,399.00 "," 7,135.00 "," 21,450.00 "," 13,404.00 "
LIMPIEZA,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,85A2B,PH Body Cleansing,PH Soap,PH Soap,EUCERIN PH5 SYND GEL BOM 400ML x 1                           ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,40881,146,337,557,130,407,36,568,561,606,171,118,0,2,384,287,402,576,391,604,452,317,756,484,529, 529.00 , -   ," 5,184.00 "," 3,637.00 "," 1,013.00 ", 118.00 ," 1,769.00 ", 289.00 
