CATEGORIA,SUBCATEGORIA,PRESENTACION,PRODUCTO,BRAND,LABORATORIO,ETICO/POPULAR,MTH - 202103,MTH - 202104,MTH - 202105,MTH - 202106,MTH - 202107,MTH - 202108,MTH - 202109,MTH - 202110,MTH - 202111,MTH - 202112,MTH - 202201,MTH - 202202,MTH - 202203,MTH - 202204,MTH - 202205,MTH - 202206,MTH - 202207,MTH - 202208,MTH - 202209,MTH - 202210,MTH - 202211,MTH - 202212,MTH - 202301,MTH - 202302,MAT 22,MAT 23,P3M 22,P3M 23,YTD 22,YTD 23
FACE TOTAL,FACE CARE - ANTIEDAD,ISDINCEUTICS AMP INSTA FL   2ML X 1,ISDINCEUTICS (ISD),ISDIN,ISDIN,POPULAR,2521200,1766450,1897545,1914465,2454184,2061891,2547732,1811826,1722248,2232360,1061476,1347692,1567410,1462800,1913622,1940988,2095496,1784490,1713292,1648938,1816542,2860353,2250495,2021414,23339069,23075840,4641528,7132262,2409168,4271909
FACE TOTAL,FACE CARE - ANTIEDAD,RETIMAX CREMA FACIAL   60G X 1,RETIMAX (S2D),SKIN DRUG,SKIN DRUG,POPULAR,20152720,14254844,18968801,13818454,14848560,15401148,19564870,19179468,11062632,18771878,12927310,13888578,17697056,11569770,13672092,18877600,14867469,13051881,17361450,13006677,18600525,21195868,10405746,10348416,192839263,180654550,45587766,41950030,26815888,20754162
FACE TOTAL,FACE CARE - ANTIEDAD,SESVIT + SUBLIM SERUM+AS30ML   30ML X 2,SESVIT + SUBLIM (S.D),SESDERMA,SESDERMA,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,FACE CARE - ANTIEDAD,SESVITAMIN-C AMP SER INTE   1.5ML X 10,SESVITAMIN-C (S.D),SESDERMA,SESDERMA,POPULAR,149142,,99428,,,,,49714,,,,,,,,,,,,,298284,,99428,,298284,397712,0,99428,0,99428
FACE TOTAL,FACE CARE - ANTIEDAD,SUBSTIANE SERUM CREMA   30ML X 1,SUBSTIANE SERUM (LRP),LRP,LA ROCHE POSAY,POPULAR,,122560,,,,,,,,,,,,,,,,,,,,,,,122560,0,0,0,0,0
FACE TOTAL,FACE CARE - ANTIEDAD,URIAGE AGE PROTECT CR.CONT.OJOS   15ML X 1,URIAGE AGE PROTECT (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,2321025,1541024,1939476,2317432,2021586,1785402,2114358,2819180,1901444,2430249,2160560,1679244,2180892,2390016,2819180,3013764,2481960,1559454,1409473,2937150,2289738,2219238,1511712,1797060,25030980,26609637,6270053,5528010,3839804,3308772
FACE TOTAL,FACE CARE - ANTIPIGMENT,AZELAC RU SE+REP SPF50   30ML X 1,AZELAC RU (S.D),SESDERMA,SESDERMA,POPULAR,561576,401120,641802,313398,313398,7183715,7791440,10770520,458320,,114580,,,,,,,,,,,,,,28549869,0,114580,0,114580,0
FACE TOTAL,FACE CARE - ANTIPIGMENT,DUCRAY MELASCREEN CREMA ILUMIN   40ML X 1,DUCRAY MELASCREEN (PC6),DUCRAY,PERCOS,POPULAR,2047388,2382555,3422446,2029160,1897464,1445230,7779350,4338981,4287166,4086900,1919302,3542385,5045281,3923194,4039332,4046322,3124674,3887598,4930092,4078074,1651710,3481812,2962095,4690968,39178327,45861152,9548587,11134875,5461687,7653063
FACE TOTAL,FACE CARE - ANTIPIGMENT,EUCERIN ANTI-PIGM. SER ULTR LIG   30ML X 1,EUCERIN ANTI-PIGM. (BEI),EUCERIN,BEIERSDORF,POPULAR,,,,,,,,,,,,,,,,160000,9959918,10005320,21583200,18530460,13827400,14670315,17767399,12550068,0,119054080,0,44987782,0,30317467
FACE TOTAL,FACE CARE - ANTIPIGMENT,EUCERIN ANTI-PIGM. SUERO DUAL   30ML X 1,EUCERIN ANTI-PIGM. (BEI),EUCERIN,BEIERSDORF,POPULAR,51505200,17832084,36711696,43825764,82622175,63471811,73570231,62365707,84089430,88169260,84301217,107377038,131336700,124850440,148883928,171170064,206063200,211463890,266899500,223229210,220719240,250416640,282355480,257642315,795841613,2495030607,279847515,790414435,191678255,539997795
FACE TOTAL,FACE CARE - ANTIPIGMENT,NEOMELAN ULTRA EMULGEL ULTR   30G X 1,NEOMELAN ULTRA (N7D),NOVADERMA,NOVADERMA,POPULAR,26029920,24611328,18278300,20022600,28475712,21747120,25627584,27364328,22063620,20586456,21751620,25728002,26965665,21152486,23300784,29021130,23849823,25990614,24441200,18899580,21780876,25927670,21680757,20745020,282286590,283755605,68066078,68353447,47479622,42425777
FACE TOTAL,FACE CARE - ANTIPIGMENT,PIGMENTCLAR OJOS CREMA   15ML X 1,PIGMENTCLAR OJOS (LRP),LRP,LA ROCHE POSAY,POPULAR,3612800,2487321,3322004,1467945,6612408,3167571,4704343,4522905,4747218,5706288,6015968,4708660,5898960,7174368,4171564,5866734,8872448,4242910,4399906,2850120,1896165,6721680,8337680,8270464,51075431,68702999,16430916,23329824,10724628,16608144
FACE TOTAL,FACE CARE - ANTIPIGMENT,WHITE OBJECTIVE SERUM NOCHE   30ML X 1,WHITE OBJECTIVE (BDM),BIODERMA,BIODERMA,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,FACE CARE - CLEANSING,AGUA MICELAR ULT.PIEL/SEN   400ML X 1,AGUA MICELAR (LRP),LRP,LA ROCHE POSAY,POPULAR,872113,1067904,436060,88992,428370,60507,311470,88992,,,60506,,,,,,,,,,,,,,3414914,0,60506,0,60506,0
FACE TOTAL,FACE CARE - CLEANSING,SENSIBIO H2O SOLN.DES+TOA   250ML X 1,SENSIBIO H2O (BDM),BIODERMA,BIODERMA,POPULAR,1074555,823260,2728674,2815921,2653320,1058100,3625550,6692385,2661477,1520645,1880648,1083615,536096,583722,562280,82000,350050,150908,426540,,,137816,,,28618150,2829412,4484908,137816,2964263,0
FACE TOTAL,FACE CARE - HIDRATACION,URIAGE AGUA TERMAL TON HY PURIF   250ML X 1,URIAGE AGUA TERMAL (MVE),URIAGE,MEDIVELIUS,POPULAR,,,,,,,,,,,,,131228,131228,262456,393684,131228,262456,524912,262456,131228,,262456,393684,0,2887016,0,656140,0,656140
FACE TOTAL,FACE CUIDADO ESPECIFICO,NORMADERM HYALUSPO GEL   15ML X 1,NORMADERM HYALUSPO (VCY),VICHY,VICHY,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,FACE CUIDADO ESPECIFICO,NORMADERM SOLN EMBELL   50ML X 1,NORMADERM (VCY),VICHY,VICHY,POPULAR,277260,68275,69315,277272,823452,,,,,,,,,,,,,,,,,,,,1515574,0,0,0,0,0
FACE TOTAL,FACE TOTAL- ANTIPIGMENT,PURE NIACINAMIDE10 SER A/MANCHA   30ML X 1,PURE NIACINAMIDE10 (LRP),LRP,LA ROCHE POSAY,POPULAR,,,,,,,,,,,,,,,,,,10192960,68229720,93937814,53213016,95150615,56452950,39332588,0,416509663,0,190936153,0,95785538
SUN,SUN BODY,ADERMA PROTECT AD CREMA SPF50+   150ML X 1,ADERMA PROTECT AD (PC6),PERCOS,PERCOS,POPULAR,3193322,1267944,3187366,7740200,6658600,946400,31176,89076,,,,,,,,,,,,,,,,,23114084,0,0,0,0,0
SUN,SUN BODY,ANTHELIOS DP FPS60 LIQD   100ML X 1,ANTHELIOS DP FPS60 (LRP),LRP,LA ROCHE POSAY,POPULAR,1295120,1230364,647560,518056,777072,1165608,1165608,,,,,,,,,129514,,,,,,,,,6799388,129514,0,0,0,0
SUN,SUN BODY,ANTHELIOS XL FPS50 SP IN ANT/BR   75ML X 1,ANTHELIOS XL FPS50 (LRP),LRP,LA ROCHE POSAY,POPULAR,,65741,82311,63930,,,132902,65913,66990,66990,,200970,66990,66990,,,71679,92689,71679,,92689,143358,92689,330900,745747,1029663,267960,566947,200970,423589
SUN,SUN BODY,PHOTODERM KID ESPUMA   150ML X 1,PHOTODERM KID (BDM),BIODERMA,BIODERMA,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN BODY,PHOTODERM MAX LAIT LECHE SPF100   100ML X 1,PHOTODERM MAX LAIT (BDM),BIODERMA,BIODERMA,POPULAR,33070664,24006432,38232150,36841608,43026986,29428175,25166004,18322840,13664544,10609808,6189450,6399550,3325608,4188789,3665285,3305380,1200564,700000,140000,269500,,,,,284958211,16795126,23198808,0,12589000,0
SUN,SUN FACE,ANTHELIOS XL FPS50 FL I TI F50+   50ML X 1,ANTHELIOS XL FPS50 (LRP),LRP,LA ROCHE POSAY,POPULAR,17916376,12429300,11224092,15123979,22491516,14775939,22691028,20248399,18073279,23956179,16254128,12499627,17639700,22619163,2884992,1769780,921250,96975,387900,329712,,,101400,204500,207683842,46955372,52709934,305900,28753755,305900
SUN,SUN FACE,AVENE SOLAR 50 EMUL.FPS50   50ML X 1,AVENE SOLAR 50 (PC6),AVENE,PERCOS,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN FACE,BLOCK SUMMER CR.TU.K F50   60G X 1,BLOCK SUMMER (GIE),GIMED,GIMED,POPULAR,2443675,2660346,5066596,7792183,8205252,6030213,6098172,6688242,11442480,16597829,14065392,9175516,15899760,17393088,7716907,18732129,17068590,18012669,8087582,8953032,6089985,10086349,15139993,7228054,96265896,150408138,39838737,32454396,23240908,22368047
SUN,SUN FACE,DARKSUN GEL PIEL SEN   60ML X 1,DARKSUN (SIE),SIEGFRIED,SIEGFRIED,POPULAR,11398446,8247288,8838072,8200375,8421248,11937822,11394216,11852136,8406415,10693779,7966112,8781790,10944752,6470087,5065658,9963760,10243620,7610177,9835584,9857340,7683136,14372514,12167778,11048913,116137699,115263319,27441681,37589205,16747902,23216691
SUN,SUN FACE,DHEMS SP PS C/RF50   180ML X 1,DHEMS (PC6),DHEMS,PERCOS,POPULAR,13023850,3510052,5600304,10367610,12586784,11230506,7853106,9961056,7345580,5438160,2042800,2172280,4812320,2560098,1265650,1113200,1937715,3390200,2575704,1446317,607200,1512700,331380,834000,91132088,22386484,9653240,2678080,4215080,1165380
SUN,SUN FACE,DUCRAY MELASCREEN CR PR S S50+   40ML X 1,DUCRAY MELASCREEN (PC6),DUCRAY,PERCOS,POPULAR,696366,303460,910143,626615,832637,405456,869362,1041029,992352,982720,544950,1130778,530400,464100,928200,149076,642820,397800,184200,,928200,66300,1181500,486500,9335868,5959096,2658448,1734300,1675728,1668000
SUN,SUN FACE,ERYFOTONA- AKNMSC CREMA FPS100   50ML X 1,ERYFOTONA- AKNMSC (ISD),ISDIN,ISDIN,POPULAR,549582,108701,91597,193614,543505,,,,,,,,,,,,,90679,,,,,,,1486999,90679,0,0,0,0
SUN,SUN FACE,ERYFOTONA- AKNMSC PR SOL 99SPF   50ML X 1,ERYFOTONA- AKNMSC (ISD),ISDIN,ISDIN,POPULAR,36917856,30330192,37958464,48062562,73600384,55269249,82007328,72316538,69342040,83442528,89634612,85313412,80569320,83872179,138306140,106190348,99018660,140177850,130743690,119738820,110485256,146677095,118628464,166743808,764195165,1441151630,258390552,432049367,174948024,285372272
SUN,SUN FACE,EUCERIN SUN FL.MAT.FPS50   50ML X 1,EUCERIN SUN (BEI),EUCERIN,BEIERSDORF,POPULAR,18746882,12509024,12083952,17555804,28893130,22920168,32766219,22341145,18557280,18807764,14803449,17142975,16266850,8686098,3726712,2726163,2095080,2129631,1311645,1534590,1268340,1968894,,,237127792,41714003,50754188,1968894,31946424,0
SUN,SUN FACE,FOTOPROT ISDIN F.W50+IHY.5A   50ML X 1,FOTOPROT ISDIN (ISD),ISDIN,ISDIN,POPULAR,,,,170572,,125756,,,,,,,,,,,,,,,,,,,296328,0,0,0,0,0
SUN,SUN FACE,PHOTODERM MAX TEIN CREMA SPF100   40ML X 1,PHOTODERM MAX TEIN (BDM),BIODERMA,BIODERMA,POPULAR,46338276,56107922,137862290,41961451,47430840,40926690,57473650,70353200,237868221,82331074,54395450,57373236,69673208,53786024,52598507,45308470,41912989,24156946,21532616,12077496,7504210,7202925,2161660,884450,930422300,338799501,194099760,10249035,111768686,3046110
SUN,SUN FACE,SOLKREM ULTRA PROT SOL F50   10G X 12,SOLKREM ULTRA (CMD),CRONOMED,CRONOMED,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN FACE,SOLKREM ULTRA PROT SOL F50   60G X 1,SOLKREM ULTRA (CMD),CRONOMED,CRONOMED,POPULAR,,,,,,,,,,,,11210,,,,,,,11210,,,,,,11210,11210,11210,0,11210,0
SUN,SUN FACE,SUNCARE CR.OILF F50   60G X 1,SUNCARE (A4N),AULEN PHARMA,AULEN PHARMA,POPULAR,55966,,43292,55966,,60462,,,55966,,,,,36875,50610,123200,63000,,,46353,,,,,271652,320038,0,0,0,0
SUN,SUN FACE,SUNCARE LOC OI F F30   60ML X 1,SUNCARE (A4N),AULEN PHARMA,AULEN PHARMA,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN FACE,UMBRELLA EMU.IN/FL.50   50G X 1,UMBRELLA (MLB),ROEMMERS,MEGALABS,POPULAR,48378180,140356808,43266335,50551032,54531608,52106048,65877656,66442052,59325744,78448527,59289880,63452695,65067050,55401809,65371056,84072492,60628880,59038661,66636548,59330430,65534149,81238911,54288510,60100820,782026565,776709316,201191102,195628241,122742575,114389330
SUN,SUN FACE,UVEBLOCK DRY TO SPF30   40ML X 1,UVEBLOCK (S1F),SISCOL FARMA S.A.,SISCOL FARMA S.A.,POPULAR,694600,433293,1059304,830843,240936,1507008,1121328,1476554,93301,2204103,300489,360588,520848,300489,175284,922200,1372220,736192,375608,1677480,595968,1727064,738206,1294605,10322347,10436164,2865180,3759875,661077,2032811
SUN,SUN FACE TINTED,ANTHELIOS XL FPS50 CR+GT/CO.LIP   50ML X 1,ANTHELIOS XL FPS50 (LRP),LRP,LA ROCHE POSAY,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN FACE TINTED,ANTHELIOS XL FPS50 GEL T/S C+LI    X 1,ANTHELIOS XL FPS50 (LRP),LRP,LA ROCHE POSAY,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN FACE TINTED,AVENE SOLAR 50 FLMPC50+OS15    X 1,AVENE SOLAR 50 (PC6),AVENE,PERCOS,POPULAR,,,,,,,,,,,,,,,,,,,,,7713306,144576177,3979005,1524352,0,157792840,0,150079534,0,5503357
SUN,SUN FACE TINTED,EUCERIN SUN GC TS F50+TC   50ML X 1,EUCERIN SUN (BEI),EUCERIN,BEIERSDORF,POPULAR,,,,,,,261216,22092882,24653370,47230740,47103000,66768220,43461332,87588416,103169079,169725684,75051645,110209454,166368200,135850000,128368944,146663672,239184127,202643525,208109428,1608284078,161101960,588491324,113871220,441827652
