CATEGORIA,SUBCATEGORIA,PRESENTACION,PRODUCTO,BRAND,LABORATORIO,ETICO/POPULAR,MTH - 202103,MTH - 202104,MTH - 202105,MTH - 202106,MTH - 202107,MTH - 202108,MTH - 202109,MTH - 202110,MTH - 202111,MTH - 202112,MTH - 202201,MTH - 202202,MTH - 202203,MTH - 202204,MTH - 202205,MTH - 202206,MTH - 202207,MTH - 202208,MTH - 202209,MTH - 202210,MTH - 202211,MTH - 202212,MTH - 202301,MTH - 202302,MAT 22,MAT 23,P3M 22,P3M 23,YTD 22,YTD 23
FACE TOTAL,ACNE CARE,URIAGE EMUL.HYS.AHA   40ML X 1,URIAGE (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,ACNE CLEANSING,EUCERIN DERMOPURE GEL OIL/CONT   200ML X 1,EUCERIN DERMOPURE (BEI),EUCERIN,BEIERSDORF,POPULAR,11,,1,60,215,170,416,384,377,620,510,606,646,834,810,528,794,635,924,820,938,979,428,399,3370,8735,1736,1806,1116,827
FACE TOTAL,ACNE CLEANSING,NORMADERM TONICO   200ML X 1,NORMADERM (VCY),VICHY,VICHY,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,ACNE CLEANSING,URIAGE GEL.HYSE.LIM   500ML X 1,URIAGE (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,13,10,8,12,23,14,15,13,12,18,10,18,25,14,20,17,14,9,13,15,24,10,14,14,166,189,46,38,28,28
FACE TOTAL,FACE CARE - AGUAS TERMALES,URIAGE AGUA TERMAL LOC.CORPORAL   500ML X 1,URIAGE AGUA TERMAL (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,28,18,26,45,19,17,10,5,3,3,,4,3,2,1,,1,2,2,6,5,3,4,2,178,31,7,9,4,6
FACE TOTAL,FACE CARE - AGUAS TERMALES,URIAGE SP AG TERMAL   150ML X 1,URIAGE (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,25,16,23,32,25,20,24,29,32,25,37,41,50,37,39,52,45,30,40,53,34,58,41,55,329,534,103,154,78,96
FACE TOTAL,FACE CARE - ANTIEDAD,ALSACE CR REA CU BR   60ML X 1,ALSACE (EQE),EPIDERMIQUE,EPIDERMIQUE,POPULAR,4,1,2,1,3,2,1,2,6,3,3,3,2,3,1,3,,,2,1,2,3,,8,31,25,9,11,6,8
FACE TOTAL,FACE CARE - ANTIEDAD,AVENE PHYSIOLIFT C CO15+SCO15   30ML X 1,AVENE PHYSIOLIFT (PC6),AVENE,PERCOS,POPULAR,2,10,58,41,85,36,47,6,5,22,6,7,3,8,6,1,3,1,2,,1,1,1,2,325,29,35,4,13,3
FACE TOTAL,FACE CARE - ANTIEDAD,AVENE PHYSIOLIFT EMULS.DIA   30ML X 1,AVENE PHYSIOLIFT (PC6),AVENE,PERCOS,POPULAR,66,62,42,69,43,38,70,49,82,46,40,25,39,37,41,54,34,23,54,29,63,83,41,79,632,577,111,203,65,120
FACE TOTAL,FACE CARE - ANTIEDAD,EUCERIN ELASTICITY ACE FAC FILL   30ML X 1,EUCERIN ELASTICITY (BEI),EUCERIN,BEIERSDORF,POPULAR,,,,,,,,5,,,,,,,,,,,,,,,,,5,0,0,0,0,0
FACE TOTAL,FACE CARE - ANTIEDAD,EUCERIN HYALU.FIL CONCENTRADO   5ML X 6,EUCERIN HYALU.FIL (BEI),EUCERIN,BEIERSDORF,POPULAR,120,107,140,73,135,120,176,146,133,148,81,127,113,120,129,120,129,75,129,80,88,94,118,103,1506,1298,356,315,208,221
FACE TOTAL,FACE CARE - ANTIEDAD,FLAVO-C  ISDIN SERUM ANTIOX   30ML X 1,FLAVO-C  ISDIN (ISD),ISDIN,ISDIN,POPULAR,123,172,100,36,227,153,165,218,132,238,206,188,140,278,377,396,533,538,553,638,663,886,827,922,1958,6751,632,2635,394,1749
FACE TOTAL,FACE CARE - ANTIEDAD,FLAVO-C  ISDIN SERUM FORTE   5.3ML X 1,FLAVO-C  ISDIN (ISD),ISDIN,ISDIN,POPULAR,,,,,,,,,,,,,,,,7,,,,11,17,28,23,72,0,158,0,123,0,95
FACE TOTAL,FACE CARE - ANTIEDAD,HYALU  B5 CREMA   40ML X 1,HYALU  B5 (LRP),LRP,LA ROCHE POSAY,POPULAR,89,55,55,47,84,71,78,41,54,93,42,56,67,78,67,62,68,39,52,60,49,44,48,25,765,659,191,117,98,73
FACE TOTAL,FACE CARE - ANTIEDAD,ISDINCEUTICS AMP INSTA FL   2ML X 1,ISDINCEUTICS (ISD),ISDIN,ISDIN,POPULAR,150,103,111,105,139,117,132,93,88,120,52,68,78,75,102,98,104,85,86,82,91,149,117,101,1278,1168,240,367,120,218
FACE TOTAL,FACE CARE - ANTIEDAD,RETIMAX CREMA FACIAL   60G X 1,RETIMAX (S2D),SKIN DRUG,SKIN DRUG,POPULAR,245,172,227,169,180,188,247,238,138,233,155,163,208,135,159,224,177,157,205,159,225,236,117,104,2355,2106,551,457,318,221
FACE TOTAL,FACE CARE - ANTIEDAD,SESVIT + SUBLIM SERUM+AS30ML   30ML X 2,SESVIT + SUBLIM (S.D),SESDERMA,SESDERMA,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,FACE CARE - ANTIEDAD,SESVITAMIN-C AMP SER INTE   1.5ML X 10,SESVITAMIN-C (S.D),SESDERMA,SESDERMA,POPULAR,3,,2,,,,,1,,,,,,,,,,,,,6,,2,,6,8,0,2,0,2
FACE TOTAL,FACE CARE - ANTIEDAD,SUBSTIANE SERUM CREMA   30ML X 1,SUBSTIANE SERUM (LRP),LRP,LA ROCHE POSAY,POPULAR,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0
FACE TOTAL,FACE CARE - ANTIEDAD,URIAGE AGE PROTECT CR.CONT.OJOS   15ML X 1,URIAGE AGE PROTECT (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,25,16,21,26,21,18,19,26,19,23,20,14,21,24,26,26,24,13,13,25,22,21,12,15,248,242,57,48,34,27
FACE TOTAL,FACE CARE - ANTIPIGMENT,AZELAC RU SE+REP SPF50   30ML X 1,AZELAC RU (S.D),SESDERMA,SESDERMA,POPULAR,6,4,7,3,3,47,68,94,4,,1,,,,,,,,,,,,,,237,0,1,0,1,0
FACE TOTAL,FACE CARE - ANTIPIGMENT,DUCRAY MELASCREEN CREMA ILUMIN   40ML X 1,DUCRAY MELASCREEN (PC6),DUCRAY,PERCOS,POPULAR,14,15,23,14,12,10,50,27,26,25,11,21,31,22,22,21,18,23,27,21,10,18,15,24,248,252,57,57,32,39
FACE TOTAL,FACE CARE - ANTIPIGMENT,EUCERIN ANTI-PIGM. SER ULTR LIG   30ML X 1,EUCERIN ANTI-PIGM. (BEI),EUCERIN,BEIERSDORF,POPULAR,,,,,,,,,,,,,,,,1,86,71,170,156,100,111,131,89,0,915,0,331,0,220
FACE TOTAL,FACE CARE - ANTIPIGMENT,EUCERIN ANTI-PIGM. SUERO DUAL   30ML X 1,EUCERIN ANTI-PIGM. (BEI),EUCERIN,BEIERSDORF,POPULAR,342,138,259,291,615,479,557,459,657,596,637,822,1100,920,1096,1044,1400,1397,1850,1405,1260,1472,1580,1393,5852,15917,2055,4445,1459,2973
FACE TOTAL,FACE CARE - ANTIPIGMENT,NEOMELAN ULTRA EMULGEL ULTR   30G X 1,NEOMELAN ULTRA (N7D),NOVADERMA,NOVADERMA,POPULAR,280,252,188,200,288,222,254,262,223,198,220,251,267,191,208,258,213,234,215,170,191,230,189,166,2838,2532,669,585,471,355
FACE TOTAL,FACE CARE - ANTIPIGMENT,PIGMENTCLAR OJOS CREMA   15ML X 1,PIGMENTCLAR OJOS (LRP),LRP,LA ROCHE POSAY,POPULAR,40,27,34,15,69,33,49,45,49,56,56,44,54,72,38,51,86,35,38,26,15,60,65,64,517,604,156,189,100,129
FACE TOTAL,FACE CARE - ANTIPIGMENT,WHITE OBJECTIVE SERUM NOCHE   30ML X 1,WHITE OBJECTIVE (BDM),BIODERMA,BIODERMA,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,FACE CARE - CLEANSING,AGUA MICELAR ULT.PIEL/SEN   400ML X 1,AGUA MICELAR (LRP),LRP,LA ROCHE POSAY,POPULAR,11,12,5,1,6,1,5,1,,,1,,,,,,,,,,,,,,43,0,1,0,1,0
FACE TOTAL,FACE CARE - CLEANSING,SENSIBIO H2O SOLN.DES+TOA   250ML X 1,SENSIBIO H2O (BDM),BIODERMA,BIODERMA,POPULAR,15,12,39,41,40,15,59,105,39,23,28,15,8,9,8,1,5,2,6,,,2,,,431,41,66,2,43,0
FACE TOTAL,FACE CARE - HIDRATACION,URIAGE AGUA TERMAL TON HY PURIF   250ML X 1,URIAGE AGUA TERMAL (MVE),URIAGE,MEDIVELIUS,POPULAR,,,,,,,,,,,,,1,1,2,3,1,2,4,2,1,,2,3,0,22,0,5,0,5
FACE TOTAL,FACE CUIDADO ESPECIFICO,NORMADERM HYALUSPO GEL   15ML X 1,NORMADERM HYALUSPO (VCY),VICHY,VICHY,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,FACE CUIDADO ESPECIFICO,NORMADERM SOLN EMBELL   50ML X 1,NORMADERM (VCY),VICHY,VICHY,POPULAR,4,1,1,4,12,,,,,,,,,,,,,,,,,,,,22,0,0,0,0,0
FACE TOTAL,FACE TOTAL- ANTIPIGMENT,PURE NIACINAMIDE10 SER A/MANCHA   30ML X 1,PURE NIACINAMIDE10 (LRP),LRP,LA ROCHE POSAY,POPULAR,,,,,,,,,,,,,,,,,,80,478,659,344,595,318,226,0,2700,0,1139,0,544
SUN,SUN BODY,ADERMA PROTECT AD CREMA SPF50+   150ML X 1,ADERMA PROTECT AD (PC6),PERCOS,PERCOS,POPULAR,74,24,83,229,197,28,2,4,,,,,,,,,,,,,,,,,641,0,0,0,0,0
SUN,SUN BODY,ANTHELIOS DP FPS60 LIQD   100ML X 1,ANTHELIOS DP FPS60 (LRP),LRP,LA ROCHE POSAY,POPULAR,20,19,10,8,12,18,18,,,,,,,,,2,,,,,,,,,105,2,0,0,0,0
SUN,SUN BODY,ANTHELIOS XL FPS50 SP IN ANT/BR   75ML X 1,ANTHELIOS XL FPS50 (LRP),LRP,LA ROCHE POSAY,POPULAR,,1,1,1,,,2,1,1,1,,3,1,1,,,1,1,1,,1,2,1,3,11,12,4,6,3,4
SUN,SUN BODY,PHOTODERM KID ESPUMA   150ML X 1,PHOTODERM KID (BDM),BIODERMA,BIODERMA,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN BODY,PHOTODERM MAX LAIT LECHE SPF100   100ML X 1,PHOTODERM MAX LAIT (BDM),BIODERMA,BIODERMA,POPULAR,316,232,374,342,383,245,226,152,111,88,50,50,26,33,31,26,9,5,1,2,,,,,2569,133,188,0,100,0
SUN,SUN FACE,ANTHELIOS XL FPS50 FL I TI F50+   50ML X 1,ANTHELIOS XL FPS50 (LRP),LRP,LA ROCHE POSAY,POPULAR,226,150,132,169,276,171,292,233,217,299,176,131,195,289,32,20,11,1,4,4,,,1,2,2472,559,606,3,307,3
SUN,SUN FACE,AVENE SOLAR 50 EMUL.FPS50   50ML X 1,AVENE SOLAR 50 (PC6),AVENE,PERCOS,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN FACE,BLOCK SUMMER CR.TU.K F50   60G X 1,BLOCK SUMMER (GIE),GIMED,GIMED,POPULAR,73,78,149,229,242,177,179,198,336,479,408,268,433,471,209,507,462,487,218,242,165,271,407,181,2816,4053,1155,859,676,588
SUN,SUN FACE,DARKSUN GEL PIEL SEN   60ML X 1,DARKSUN (SIE),SIEGFRIED,SIEGFRIED,POPULAR,118,84,92,85,88,122,108,111,85,101,77,82,104,61,46,80,90,61,88,90,64,117,98,87,1153,986,260,302,159,185
SUN,SUN FACE,DHEMS SP PS C/RF50   180ML X 1,DHEMS (PC6),DHEMS,PERCOS,POPULAR,350,91,144,267,332,294,186,243,193,144,50,44,95,51,25,22,39,67,51,29,12,28,6,15,2338,440,238,49,94,21
SUN,SUN FACE,DUCRAY MELASCREEN CR PR S S50+   40ML X 1,DUCRAY MELASCREEN (PC6),DUCRAY,PERCOS,POPULAR,11,5,13,11,13,6,13,17,16,16,9,18,8,7,14,2,10,6,3,,14,1,17,7,148,89,43,25,27,24
SUN,SUN FACE,ERYFOTONA- AKNMSC CREMA FPS100   50ML X 1,ERYFOTONA- AKNMSC (ISD),ISDIN,ISDIN,POPULAR,6,1,1,2,5,,,,,,,,,,,,,1,,,,,,,15,1,0,0,0,0
SUN,SUN FACE,ERYFOTONA- AKNMSC PR SOL 99SPF   50ML X 1,ERYFOTONA- AKNMSC (ISD),ISDIN,ISDIN,POPULAR,432,331,428,622,832,511,598,697,620,874,734,729,780,729,895,914,940,1030,1155,1068,1036,1461,1186,1408,7408,12602,2337,4055,1463,2594
SUN,SUN FACE,EUCERIN SUN FL.MAT.FPS50   50ML X 1,EUCERIN SUN (BEI),EUCERIN,BEIERSDORF,POPULAR,266,176,174,236,415,318,419,289,263,244,201,233,190,118,44,27,24,21,15,15,12,18,,,3234,484,678,18,434,0
SUN,SUN FACE,FOTOPROT ISDIN F.W50+IHY.5A   50ML X 1,FOTOPROT ISDIN (ISD),ISDIN,ISDIN,POPULAR,,,,2,,1,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
SUN,SUN FACE,PHOTODERM MAX TEIN CREMA SPF100   40ML X 1,PHOTODERM MAX TEIN (BDM),BIODERMA,BIODERMA,POPULAR,604,793,1805,509,570,501,650,760,2749,938,586,684,748,634,593,470,419,253,232,129,79,75,29,10,11149,3671,2208,114,1270,39
SUN,SUN FACE,SOLKREM ULTRA PROT SOL F50   10G X 12,SOLKREM ULTRA (CMD),CRONOMED,CRONOMED,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN FACE,SOLKREM ULTRA PROT SOL F50   60G X 1,SOLKREM ULTRA (CMD),CRONOMED,CRONOMED,POPULAR,,,,,,,,,,,,1,,,,,,,1,,,,,,1,1,1,0,1,0
SUN,SUN FACE,SUNCARE CR.OILF F50   60G X 1,SUNCARE (A4N),AULEN PHARMA,AULEN PHARMA,POPULAR,1,,1,1,,1,,,1,,,,,1,1,2,1,,,1,,,,,5,6,0,0,0,0
SUN,SUN FACE,SUNCARE LOC OI F F30   60ML X 1,SUNCARE (A4N),AULEN PHARMA,AULEN PHARMA,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN FACE,UMBRELLA EMU.IN/FL.50   50G X 1,UMBRELLA (MLB),ROEMMERS,MEGALABS,POPULAR,570,1613,497,574,634,568,719,733,664,877,646,661,670,577,656,798,601,583,638,606,619,753,505,556,8756,7562,2184,1814,1307,1061
SUN,SUN FACE,UVEBLOCK DRY TO SPF30   40ML X 1,UVEBLOCK (S1F),SISCOL FARMA S.A.,SISCOL FARMA S.A.,POPULAR,10,7,17,13,4,24,18,23,1,33,3,4,6,3,2,12,20,8,4,21,6,18,7,13,157,120,40,38,7,20
SUN,SUN FACE TINTED,ANTHELIOS XL FPS50 CR+GT/CO.LIP   50ML X 1,ANTHELIOS XL FPS50 (LRP),LRP,LA ROCHE POSAY,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN FACE TINTED,ANTHELIOS XL FPS50 GEL T/S C+LI    X 1,ANTHELIOS XL FPS50 (LRP),LRP,LA ROCHE POSAY,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SUN,SUN FACE TINTED,AVENE SOLAR 50 FLMPC50+OS15    X 1,AVENE SOLAR 50 (PC6),AVENE,PERCOS,POPULAR,,,,,,,,,,,,,,,,,,,,,81,1461,43,16,0,1601,0,1520,0,59
SUN,SUN FACE TINTED,EUCERIN SUN GC TS F50+TC   50ML X 1,EUCERIN SUN (BEI),EUCERIN,BEIERSDORF,POPULAR,,,,,,,4,309,310,655,700,1006,548,1256,1391,2298,1031,1363,2300,1672,1584,1682,2821,2315,2984,20261,2361,6818,1706,5136
SUN,SUN KIDS,AVENE SOLAR 50 SPRAY NINOS   200ML X 1,AVENE SOLAR 50 (PC6),AVENE,PERCOS,POPULAR,173,77,116,134,184,144,114,199,140,202,152,129,132,232,118,184,240,182,111,139,166,288,175,201,1764,2168,483,664,281,376
SUN,SUN KIDS,FOTOPROT ISDIN LOC.PEDI.50+   50ML X 1,FOTOPROT ISDIN (ISD),ISDIN,ISDIN,POPULAR,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,1,0,1
SUN,SUN KIDS,PHOTODERM KID BLUE LECHE FPS50   100ML X 1,PHOTODERM KID BLUE (BDM),BIODERMA,BIODERMA,POPULAR,46,34,32,62,42,55,39,39,32,102,66,52,49,50,36,52,77,56,42,41,35,102,84,65,601,689,220,251,118,149
BODY,BODY CARE - PIEL ATOPICA TRATAMIENTO,ADERMA EXOMEGA C DE200+DP40    X 1,ADERMA EXOMEGA (PC6),PERCOS,PERCOS,POPULAR,,,3,35,46,46,66,28,19,7,8,10,7,4,,2,2,1,,,,,1,,268,17,25,1,18,1
BODY,BODY CARE - PIEL ATOPICA TRATAMIENTO,ATODERM INTENSIVE GEL MOUSSANT   200ML X 1,ATODERM INTENSIVE (BDM),BIODERMA,BIODERMA,POPULAR,,5,128,131,169,219,186,166,165,193,91,109,155,152,129,140,224,186,197,219,166,262,292,227,1562,2349,393,781,200,519
BODY,BODY CARE - PIEL ATOPICA TRATAMIENTO,ATODERM LAIT LECHE CUERPO   200ML X 1,ATODERM LAIT (BDM),BIODERMA,BIODERMA,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
BODY,BODY CARE - PIEL SECA UREA,UREADERM CREMA 15% 60G X 1,UREADERM (MLB),ROEMMERS,MEGALABS,POPULAR,879,876,649,819,813,739,870,728,788,879,719,722,639,750,493,766,773,787,705,806,749,942,730,784,9481,8924,2320,2456,1441,1514
BODY,BODY CARE - PIEL SECA UREA,UREADIN RX 30 CRE EMOLIENT 30% 50ML X 1,UREADIN RX 30 (ISD),ISDIN,ISDIN,POPULAR,71,57,79,68,81,85,84,81,65,70,56,46,68,52,68,83,87,92,93,70,75,88,100,94,843,970,172,282,102,194
BODY,BODY CARE - PIEL SECA UREA,UREANOVA CREMA 10% 200G X 1,UREANOVA (GIE),UREANOVA,GIMED,POPULAR,,,,,,,,,,,,12,269,190,209,230,194,265,214,216,220,242,242,195,12,2686,12,679,12,437
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,CETAPHIL LOC.HU.SPF15   118ML X 1,CETAPHIL (GLD),GALDERMA,GALDERMA,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,EUCERIN PH5 LOC.   100ML X 1,EUCERIN PH5 (BEI),EUCERIN,BEIERSDORF,POPULAR,424,390,385,452,570,550,477,479,426,574,487,468,500,311,278,137,197,107,107,93,73,98,67,51,5682,2019,1529,216,955,118
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,LENIDERM C280+EF C250    X 1,LENIDERM (SIE),SIEGFRIED,SIEGFRIED,POPULAR,9,5,7,2,6,14,4,8,5,2,2,3,,,,,,,,,,,,,67,0,7,0,5,0
BODY,BODY CLEANSING - PIEL ATOPICA LIMPIEZA,LIPIKAR SYNDET G/C DUCHA AP   400ML X 1,LIPIKAR SYNDET (LRP),LRP,LA ROCHE POSAY,POPULAR,471,332,358,417,605,497,553,565,513,406,351,334,449,580,450,488,541,432,560,433,497,661,518,531,5402,6140,1091,1710,685,1049
BODY,BODY CLEANSING - PIEL SENSIBLE LIMPIEZA,ATODERM DOUCHE ACEITE DUCHA   1000ML X 1,ATODERM DOUCHE (BDM),BIODERMA,BIODERMA,POPULAR,274,221,249,146,174,149,382,343,287,388,290,331,333,426,319,367,465,439,522,571,450,738,822,727,3234,6179,1009,2287,621,1549
BODY,BODY CLEANSING - PIEL SENSIBLE LIMPIEZA,ATODERM DOUCHE GEL DUCHA   1000ML X 1,ATODERM DOUCHE (BDM),BIODERMA,BIODERMA,POPULAR,98,48,79,35,28,90,69,87,81,166,35,136,159,148,185,225,260,239,258,244,272,383,350,624,952,3347,337,1357,171,974
BODY,BODY CLEANSING - PIEL SENSIBLE LIMPIEZA,ATODERM DOUCHE GEL DUCHA   100ML X 1,ATODERM DOUCHE (BDM),BIODERMA,BIODERMA,POPULAR,7,4,2,3,,2,4,3,4,5,5,2,3,4,,5,2,3,1,8,7,7,6,3,41,49,12,16,7,9
BODY,BODY CLEANSING - PIEL SENSIBLE LIMPIEZA,EFAL BARRA   100G X 1,EFAL (SIE),SIEGFRIED,SIEGFRIED,POPULAR,1,1,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
FACE TOTAL,ACNE CARE,DHEMS LAMINAS ANTI    X 50,DHEMS (PC6),DHEMS,PERCOS,POPULAR,117,59,66,130,72,86,101,129,118,113,63,39,56,102,176,200,243,228,268,269,209,370,296,308,1093,2725,215,974,102,604
