UPC,Mercado,Sub-Mercado,Atributo Categoria,Laboratorio,Laboratorio Completo,DESCRIPCION,SUN FILE,PAIS,MINERAL / NO MINERAL,TRACKER,TRACKER DESCRIPCION
20,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,LA ROCHE POSAY HYALU B5 SERUM ANTIARRUGAS CJ CTN 30ML,,CHILE,,,
21,FACE,SENSITIVE SKIN,SENSITIVE SKIN,LA ROCHE POSAY,LA ROCHE POSAY,LA ROCHE POSAY TOLERIA ULTRA SOOTHING CJ CTN HC 40,,CHILE,,,
22,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS SENSIBLE HUMECTACION SIN UV,,CHILE,,,
23,FACE,ANTI-AGE,ANTI-AGE,ISDIN,ISDIN,ISDIN FOTO ULTRA AGE REPAIR SPF50+RG HYTRATION PLT 200 50,,CHILE,,,
24,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS TODO TIPO OTROS SIN UV,,CHILE,,,
25,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,P.LABELS,FILTROS SOLARES P.LABELS P.LABELS P.LABELS TODO TIPO SUN FACE 50+,Sensitive Skin/ basic sun protection,CHILE,,,
26,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,P.LABELS,A MANOS Y CUERPO P.LABELS P.LABELS P.LABELS SENSIBLE SENSITIVE / DRY SKIN SIN UV,,CHILE,,,
27,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,P.LABELS,FILTROS SOLARES P.LABELS P.LABELS P.LABELS TODO TIPO ... 50+,Sensitive Skin/ basic sun protection,CHILE,,,
28,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS GRASA LIMPIEZA SIN UV,,CHILE,,,
29,RESTORING,RESTORING,RESTORING,OTROS LAB,P.LABELS,CREMAS PARA MANOS Y CUERPO P.LABELS P.LABELS P.LABELS SECA CRACKED SKIN SIN UV,,CHILE,,,
30,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS NORMAL ANTI-EDAD SIN UV,,CHILE,,,
31,SUN,SUN BODY,SUN BODY,OTROS LAB,P.LABELS,FILTROS SOLARES P.LABELS P.LABELS P.LABELS ... ... ...,,CHILE,,,
32,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS SECA HUMECTACION SIN UV,,CHILE,,,
33,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,P.LABELS,FILTROS SOLARES P.LABELS P.LABELS P.LABELS TODO TIPO SUN FACE 50,Sensitive Skin/ basic sun protection,CHILE,,,
34,BODY,BODY CLEANS,ATOPIC SKIN CLEANS,OTROS LAB,P.LABELS,EMAS PARA MANOS Y CUERPO P.LABELS P.LABELS P.LABELS ATOPICA LIMPIEZA BODY SIN UV,,CHILE,,,
35,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS ATOPICA SENSITIVE SKIN SIN UV,,CHILE,,,
36,RESTORING,RESTORING,RESTORING,OTROS LAB,OT.MARCAS,PROSIL TRATAMIENTO PARA CICATRICES NC CJ 4.25,,CHILE,,,
37,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,P.LABELS,CREMAS PARA MANOS Y CUERPO P.LABELS P.LABELS P.LABELS NORMAL OTROS SIN UV,,CHILE,,,
38,FACE,ACNE,ACNE TREATMENT,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS TODO TIPO IMPURE SKIN SIN UV,,CHILE,,,
39,FACE,ACNE,ACNE TREATMENT,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS GRASA IMPURE SKIN SIN UV,,CHILE,,,
40,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS SENSIBLE SENSITIVE SKIN SIN UV,,CHILE,,,
41,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,P.LABELS,PARA MANOS Y CUERPO P.LABELS P.LABELS P.LABELS SECA SENSITIVE / DRY SKIN SIN UV,,CHILE,,,
42,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS TODO TIPO ANTI-MANCHAS SIN UV,,CHILE,,,
43,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS TODO TIPO SENSITIVE SKIN SIN UV,,CHILE,,,
44,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,OTROS LAB,P.LABELS,CREMAS PARA MANOS Y CUERPO P.LABELS P.LABELS P.LABELS ATOPICA ATOPIC SKIN SIN UV,,CHILE,,,
45,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS TODO TIPO LIMPIEZA SIN UV,,CHILE,,,
46,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS TODO TIPO HUMECTACION SIN UV,,CHILE,,,
47,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS TODO TIPO ANTI-EDAD SIN UV,,CHILE,,,
48,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY SERUM+ CREM50+SERUM3+PROT3ML+NOC15+MIN 89 4 CJ CTN 3ML 7804960115179BP3,,CHILE,,,
49,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MIN 89+ LIFT COLLAGE50+AMP1.8+CAPSOLEI13+COSM CJ 4ML 7804960115148BP2,,CHILE,,,
50,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MIN 89+CREM50+SERUM3+SERUM3+PROT3ML+NOC15 CJ CTN 4ML 7804960115179BP1,,CHILE,,,
51,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY CAPSOLEI+LIFT COLLAGE50+MIN89 4+AMP2+COSM CJ 3ML 7804960115148BP4,Age Related Sun Protection,CHILE,,,
101,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE EAU THERMALEFAC Y CORP 50ML,,MEXICO,,,
102,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE EAU THERMALEFAC Y CORP 150ML,,MEXICO,,,
103,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE EAU THERMALEFAC Y CORP 300ML,,MEXICO,,,
104,BODY,BODY TREATMENT,DRY SKIN TREATMENT,AVENE,AVENE,AVENE AKERAT CRA CORP P/SEC 200ML,,MEXICO,,,
105,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,AVENE,AVENE,AVENE COLD CREAM BARRA CORP DERMOLIMP 100GR,,MEXICO,,,
106,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR BLOQ GEL-CRA F20 UVB OIL FREE 50,Sensitive Skin/ basic sun protection,MEXICO,,,
107,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR BLOQ CRA FAC F20 UVA 50ML,Sensitive Skin/ basic sun protection,MEXICO,,,
108,SUN,SUN FACE,SUN FACE TINTED,AVENE,AVENE,AVENE PROT SOLAR BLOQ CRA FAC F20 UVB C/COLOR 50M,Sensitive Skin/ basic sun protection,MEXICO,,,
109,SUN,SUN BODY,SUN BODY,AVENE,AVENE,AVENE PROT SOLAR BLOQ LECHE CORP F20 150ML,,MEXICO,,,
110,SUN,SUN BODY,SUN BODY,AVENE,AVENE,AVENE PROT SOLAR BLOQ CRA FAC Y CORP F20 150ML,,MEXICO,,,
111,SUN,SUN KIDS,SUN KIDS,AVENE,AVENE,AVENE PROT SOLAR BLOQ FAC Y CORP BEBES Y NIÑOS F2,,MEXICO,NON MINERAL,,
112,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR BLOQ CRA FAC Y CORP P/INT F50 50,Sensitive Skin/ basic sun protection,MEXICO,,,
113,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR BLOQ STICK CRA ZONAS SENS F50 15,"Others ( Face brushes, Compact, Sticks, etc)",MEXICO,,,
114,SUN,SUN BODY,SUN BODY,AVENE,AVENE,AVENE PROT SOLAR BLOQ CRA CORP F60 100ML,,MEXICO,,,
115,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR BLOQ CRA FAC Y CORP F60 50ML,Sensitive Skin/ basic sun protection,MEXICO,,,
116,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR BLOQ F60 GEL-CRA OIL FREE 50ML,Normal to Acne Prone Skin,MEXICO,,,
117,FACE,ACNE,ACNE TREATMENT,AVENE,AVENE,AVENE CLEAN-AC CRA FAC TUBO 40ML,,MEXICO,,,
118,FACE,ACNE,ACNE TREATMENT,AVENE,AVENE,AVENE CLEANANCE EMUL FAC 40ML,,MEXICO,,,
119,FACE,ACNE,ACNE TREATMENT,AVENE,AVENE,AVENE CLEANANCE CRA FAC C/TINTE 40ML,,MEXICO,,,
120,FACE,ACNE,ACNE CLEANS,AVENE,AVENE,AVENE CLEANANCE GEL LIMP FAC S/JBN 200ML,,MEXICO,,,
121,FACE,ACNE,ACNE TREATMENT,AVENE,AVENE,AVENE CLEANANCE K CRA FAC A/ACNE 40ML,,MEXICO,,,
130,SUN,SUN BODY,SUN BODY,AVENE,AVENE,AVENE PROT SOLAR CRA AUTO BRONC FAC Y CORP TUBO 7,,MEXICO,,,
131,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE CRA CONT/OJOS TUBO 10ML,,MEXICO,,,
132,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,AVENE,AVENE,AVENE COLD CREAM CRA EMUL CORP 400ML,,MEXICO,,,
133,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE CRA FAC EXF SVE TUBO 50ML,,MEXICO,,,
135,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE CRA FAC DESM 200ML,,MEXICO,,,
136,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE CRA FACIAL HIDRATANTE ENRIQUECID,,MEXICO,,,
137,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE HYDRANCE CRA FAC OPTIMALE LIGERA 40ML,,MEXICO,,,
138,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE CRA FAC LIMP PURIF TUBO 125ML,,MEXICO,,,
139,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE CRA FAC NUT COMPENSADORA 40ML,,MEXICO,,,
140,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE CRA FAC P/INT 40ML,,MEXICO,,,
141,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE CRA FAC PROTECT DE DIA F15 40ML,,MEXICO,,,
145,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE TOLERANCE EXCRA C/7 AMP 5ML,,MEXICO,,,
146,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE CRA DESM PA/OJOS 100ML,,MEXICO,,,
147,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE ESPUMA PA/AFEITAR 200ML,,MEXICO,,,
148,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE GEL FAC DESM 150ML,,MEXICO,,,
149,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,AVENE,AVENE,AVENE COLD CREAM GEL LIMP FAC Y CORP 200ML,,MEXICO,,,
152,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,AVENE,AVENE,AVENE COLD CREAM LAPIZ LAB STICK 4.5GR,,MEXICO,,,
153,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,AVENE,AVENE,AVENE LAPIZ LABIAL FPS20 STICK 4.5 GR,,MEXICO,,,
154,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE TOLERANCE EXLECHE C/7 AMP 10ML,,MEXICO,,,
155,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE LOC FAC MATIF HIDRAT 50ML,,MEXICO,,,
156,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE LOC FAC P/INT 200ML,,MEXICO,,,
157,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE LOC TONICA SUAVIZANTE 200ML,,MEXICO,,,
158,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE MASCARILLA FAC APACIGUANTE HIDRA,,MEXICO,,,
159,SUN,SUN BODY,SUN BODY,AVENE,AVENE,AVENE PROT SOLAR BLOQ SPRAY F20 UVA FAC Y CORP 12,,MEXICO,,,
160,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,AVENE,AVENE,AVENE TRIXERA CRA EMOL FAC Y CORP 200ML,,MEXICO,,,
161,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE YSTHEAL PLUSCRA CONT/OJOS 15ML,,MEXICO,,,
162,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE YSTHEAL PLUSCRA 30ML,,MEXICO,,,
163,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE YSTHEAL PLUSEMUL 30ML,,MEXICO,,,
164,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE YSTHEAL GEL 15ML,,MEXICO,,,
165,SUN,SUN BODY,SUN BODY,AVENE,AVENE,AVENE PROT SOLAR BLOQ CRA CORP F50 100ML,,MEXICO,,,
166,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR BLOQ CRA FAC Y CORP P/SENS F50 5,Sensitive Skin/ basic sun protection,MEXICO,,,
167,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR BLOQ GEL-CRA FACIAL F50 50ML,Sensitive Skin/ basic sun protection,MEXICO,,,
168,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE YSTHEAL KIT+EMUL 2009,,MEXICO,,,
169,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR KIT BLOQ CRA F50+AGUA 50ML,Sensitive Skin/ basic sun protection,MEXICO,,,
170,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE ELUAGE CRA A/ARRUGAS 30ML,,MEXICO,,,
171,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE ELUAGE GEL CONC 15ML,,MEXICO,,,
172,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR BLOQ GEL-CRA FACIAL F50 50ML,Sensitive Skin/ basic sun protection,MEXICO,,,
173,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE ELUAGE CRA CUERPO 150ML,,MEXICO,,,
174,SUN,SUN KIDS,SUN KIDS,AVENE,AVENE,AVENE PROT SOLAR BLOQ SPRAY FAC Y CORP NIÑOS F40,,MEXICO,NON MINERAL,,
176,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,AVENE,AVENE,AVENE TRIXERA CRA EMOL FAC Y CORP 400ML,,MEXICO,,,
177,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE LOC MICELAR DESM 200ML,,MEXICO,,,
178,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,AVENE,AVENE,AVENE TRIXERA SELECRA 400ML,,MEXICO,,,
179,BODY,BODY CLEANS,ATOPIC SKIN CLEANS,AVENE,AVENE,AVENE TRIXERA SELEGEL 400ML,,MEXICO,,,
181,SUN,SUN BODY,SUN BODY,AVENE,AVENE,AVENE PROT SOLAR BLOQ SPRAY F50 200ML,,MEXICO,,,
182,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE ELUAGE GEL CONT OJOS 15ML,,MEXICO,,,
183,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR BLOQ CRA FAC F30 50ML,Sensitive Skin/ basic sun protection,MEXICO,,,
184,SUN,SUN BODY,SUN BODY,AVENE,AVENE,AVENE PROT SOLAR BLOQ SPRAY F30 200ML,,MEXICO,,,
185,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,AVENE,AVENE,AVENE TRIXERA SELEBALS 200ML,,MEXICO,,,
186,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE TOLERANCE EXCRA 50ML,,MEXICO,,,
187,FACE,SENSITIVE SKIN,SENSITIVE SKIN,AVENE,AVENE,AVENE TOLERANCE EXLECHE DEFI 50 ML,,MEXICO,,,
188,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE ELUAGE KIT SURCOS MARCADOS,,MEXICO,,,
189,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE ELUAGE KIT REESTRUCT OJOS Y ROSTRO,,MEXICO,,,
190,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE SERENAGE CRA DIA NUTRI-REDENSIFICANTE 40M,,MEXICO,,,
192,FACE,ACNE,ACNE TREATMENT,AVENE,AVENE,AVENE CLEANANCE KIT EMUL P/GRA,,MEXICO,,,
194,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR KIT VERANO BLOQ GEL F50 50ML+A/T,Sensitive Skin/ basic sun protection,MEXICO,,,
195,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR KIT VERANO BLOQ CRA F50 50ML+A/T,Sensitive Skin/ basic sun protection,MEXICO,,,
196,FACE,ANTI-AGE,ANTI-AGE,AVENE,AVENE,AVENE ELUAGE KIT GEL 15ML,,MEXICO,,,
198,SUN,SUN FACE,SUN FACE NON TINTED,AVENE,AVENE,AVENE PROT SOLAR KIT VERANO BLOQ CRA F50 50ML+A/T,Sensitive Skin/ basic sun protection,MEXICO,,,
199,SUN,SUN BODY,SUN BODY,AVENE,AVENE,AVENE PROT SOLAR KIT BLOQ F50 EMUL 200ML,,MEXICO,,,
200,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,OTROS LAB,PIERRE FABRE,ADERMA DERMOPAN JBN FAC Y CORP DERMOPAN 100GR C/,,MEXICO,,,
201,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,OTROS LAB,PIERRE FABRE,ADERMA DERMOPAN JBN FAC Y CORP 100GR,,MEXICO,,,
202,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,OTROS LAB,PIERRE FABRE,ADERMA DERMOPAN GEL ESPUMOSO FAC Y CORP 250ML,,MEXICO,,,
207,RESTORING,RESTORING,RESTORING,OTROS LAB,PIERRE FABRE,ADERMA CYTELIUM LOC FAC Y CORP 100ML,,MEXICO,,,
208,RESTORING,RESTORING,RESTORING,OTROS LAB,PIERRE FABRE,ADERMA DERMALIBOURCRA FAC Y CORP 50ML,,MEXICO,,,
210,RESTORING,RESTORING,RESTORING,OTROS LAB,PIERRE FABRE,ADERMA EPITELIAL ACRA FAC Y CORP 30ML,,MEXICO,,,
212,BODY,BODY CLEANS,ATOPIC SKIN CLEANS,OTROS LAB,PIERRE FABRE,ADERMA EXOMEGA GEL C/AVENA CORP DE BANO 250ML,,MEXICO,,,
213,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,OTROS LAB,PIERRE FABRE,ADERMA EXOMEGA CRA FAC Y CORP PI/ATOPICAS 200ML,,MEXICO,,,
214,BODY,BODY CLEANS,ATOPIC SKIN CLEANS,OTROS LAB,PIERRE FABRE,ADERMA EXOMEGA GEL DERMOLIMP C/OMEGA 6 200ML,,MEXICO,,,
215,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,OTROS LAB,PIERRE FABRE,ADERMA EXOMEGA LOC CRA C/OMEGA 6 400ML,,MEXICO,,,
216,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,OTROS LAB,DUCRAY,DUCRAY ICTYANE BARRA 100GR,,MEXICO,,,
217,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,DUCRAY,DUCRAY ICTYANE CRA CORP 200ML,,MEXICO,,,
218,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,DUCRAY,DUCRAY ICTYANE CRA FAC Y CORP 50ML,,MEXICO,,,
219,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,DUCRAY,DUCRAY ICTYANE CRA FAC Y CORP 150ML,,MEXICO,,,
221,FACE,ACNE,ACNE TREATMENT,OTROS LAB,DUCRAY,DUCRAY KERACNYL CRA A/ACNE 40ML,,MEXICO,,,
222,FACE,ACNE,ACNE CLEANS,OTROS LAB,DUCRAY,DUCRAY KERACNYL GEL LIMPIADOR A/ACNE 125 ML,,MEXICO,,,
226,SUN,SUN BODY,SUN BODY,OTROS LAB,DUCRAY,DUCRAY PHOTOSCREENBLOQ CORP F60 100ML,,MEXICO,,,
227,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,DUCRAY,DUCRAY PHOTOSCREENBLOQ FAC Y CORP F60 50ML,Sensitive Skin/ basic sun protection,MEXICO,,,
230,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,ADERMA SENSIFLUID CRA LIMPIADORA FAC 200ML,,MEXICO,,,
231,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,OTROS LAB,PIERRE FABRE,ADERMA SEPTALIBOURGEL LIMPIADOR CORP 125ML,,MEXICO,,,
240,BODY,BODY CLEANS,ATOPIC SKIN CLEANS,OTROS LAB,PIERRE FABRE,ADERMA EXOMEGA CRA 200ML+GEL DERMOLIMP,,MEXICO,,,
244,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,OTROS LAB,PIERRE FABRE,ADERMA EXOMEGA CRA FAC Y CORP 400ML,,MEXICO,,,
247,BODY,BODY CLEANS,ATOPIC SKIN CLEANS,OTROS LAB,PIERRE FABRE,ADERMA EXOMEGA ESPUMA EMOLIENTE 125ML,,MEXICO,,,
248,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,OTROS LAB,PIERRE FABRE,ADERMA EXOMEGA BALS DEFI 200ML,,MEXICO,,,
249,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,OTROS LAB,PIERRE FABRE,ADERMA EXOMEGA CRA CRA 200ML,,MEXICO,,,
252,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,OTROS LAB,PIERRE FABRE,ADERMA EXOMEGA EMOLIENTE BALSAMO 400ML,,MEXICO,,,
253,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,OTROS LAB,DUCRAY,DUCRAY ICTYANE KIT BARRA 200GR+LECHE CORP 200ML,,MEXICO,,,
255,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,DUCRAY,DUCRAY MELASCREEN KIT DESPIG 40ML+30ML+LENTES,,MEXICO,,,
