CATEGORIA,SEGMENTO,MARCA,SKU,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019,01/01/2020,01/02/2020,01/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021,01/01/2022,01/02/2022,01/03/2022,01/04/2022,01/05/2022,01/06/2022,01/07/2022,01/08/2022,01/09/2022,01/10/2022,01/11/2022,01/12/2022,01/01/2023,01/02/2023,YTD 22,YTD 23
FOTOPROTECTOR,Sun Adult,Cetaphil,CETAPHIL DAYLONG GEL LIG F50  100 ML X 1,,,,,,,,,,,,"1,469","1,469",347,"1,037","2,842","2,507",600,"1,594","1,276","1,697","2,756","5,532","1,887","12,033","2,019","2,792",259,178,"3,161",802,891,980,"1,633","1,886","2,392","4,175","3,206","1,012","1,939","1,114",960,882,"2,415","2,738","4,132","4,671","3,773","2,055","1,868",93,"4,389","2,335",187,919,867,379,,,112,,112,3923,112
FOTOPROTECTOR,Sun Adult,Ducray,DUCRAY MELASCREEN CREMA LAIT50  40 ML X 1,32,,97,65,97,,65,,258,,,32,,129,97,129,32,,97,32,65,,32,,32,32,32,,,,,,,65,,,,,,,94,94,376,376,410,875,109,523,113,324,525,21,333,292,,,114,,,,,453,437,453
FOTOPROTECTOR,Sun Adult,Emolan,EMOLAN SPRAY ADULTO SPF50 X170,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,55,110,,,55,55,55,,,55,,,55,55,55
FOTOPROTECTOR,Sun Adult,Eucerin,EUC OIL CONT.CR CORP SPF50+TB 50ML PROMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,12,3,8,4,19,0,23
FOTOPROTECTOR,Sun Adult,Eucerin,"EUCER.SOLAR (SUN SP50.200+TOALL PL),PACK",,,,,,,,,,,697,"4,182","6,871","5,975","2,589","3,685",597,597,"1,593",597,797,896,797,"4,581","17,526","7,568","2,589",199,100,,100,597,299,199,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Eucerin,EUCERIN GEL CREMA DRY TOUCH SPF50+200ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,971","25,766","33,753","19,411","19,978","12,471","9,745","5,273","14,673","16,632","16,398","43,777","25,859","70,728","117,118","89,288","62,859","33,811","23,499","19,771","29,957","31,082","37,803","98,222","50,008","164,083","210,626","289,961",206406,500587
FOTOPROTECTOR,Sun Adult,Eucerin,EUCERIN SUN EM.DRY TOUCH  200 ML X 1,"52,695","61,362","56,879","30,880","9,961","9,463","19,126","12,750","15,639","34,466","37,853","59,170","47,416","28,390","25,003","17,432","10,459","8,467","14,145","8,268","11,555","20,321","15,739","38,749","59,469","54,688","14,344","4,582","1,893","1,494","1,793","2,590","5,479","11,754","21,489","25,349","33,700","28,584","30,449","22,595","11,786","6,721","16,860","14,447","12,921","41,613","21,527","39,223","33,475","61,894","69,900","41,744","27,316","22,588","32,764","29,641","25,046","44,992","34,995","24,478","23,587","105,992",95369,129579
FOTOPROTECTOR,Sun Adult,Eucerin,EUCERIN SUN SU.L.N.M.F25  150 ML X 1,198,199,65,118,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Eucerin,EUCERIN SUN SU.L.T/L.F50  150 ML X 1,"557,319","389,619","304,889","182,459","63,471","55,671","96,200","64,924","78,688","163,112","248,071","465,401","371,266","525,431","277,665","68,441","55,900","45,577","74,865","62,630","60,030","108,971","215,800","307,795","364,154","323,831","112,106","15,906","20,188","21,182","23,629","30,818","41,677","63,012","113,900","133,035","163,009","126,202","131,120","62,851","49,172","45,495","75,269","78,306","83,064","202,049","123,486","214,360","305,709","264,824","191,860","135,138","85,407","71,310","91,296","98,003","92,869","211,510","189,120","265,579","360,445","318,433",570533,678878
FOTOPROTECTOR,Sun Adult,Eucerin,EUCERIN SUN TRAN SP F50P  200 ML X 1,"56,995","49,710","38,981","14,470","6,989","6,595","12,698","7,383","8,269","28,940","23,526","32,484","35,634","35,437","19,097","10,533","5,020","3,839","9,155","4,627","6,300","10,828","12,994","19,097","34,256","21,262","5,512","1,083",591,"1,280",984,984,"2,067","5,512","10,000","13,742","18,262","15,033","15,065","4,978","3,211","3,324","6,487","3,481","4,879","19,403","10,276","12,881","14,692","13,858","4,053","2,951","3,004","1,957","1,059","2,932",706,353,"3,802","5,014","5,843","2,937",28550,8780
FOTOPROTECTOR,Sun Adult,Frezyderm,FREZYD SUN SCR BODY LOT SPF5 FCO 150ML,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Frezyderm,FREZYD SUN SCR VELV BODY SPF TBO125ML,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Heliocare,HELIOCARE 360° AIRGEL SPF50+ FCOx60ML,,,,,,,,,,159,954,"1,988","1,432","2,466","1,193",875,954,"1,432","1,273","1,511","1,750","1,352","1,352","1,352","1,909","2,545",716,318,398,477,954,954,"1,829","2,307","1,274","1,806","1,969","1,344","1,193",745,503,681,"1,859",862,"1,500","1,079","1,384","1,473","1,443",673,360,427,494,165,534,531,409,44,,,,,2116,0
FOTOPROTECTOR,Sun Adult,Heliocare,HELIOCARE ADVANC SPRAY SPF50 TBOx200ML,,,,,,,,,,166,"3,642","24,250","47,175","55,038","12,497","5,380","5,628","3,559","5,545","2,979","3,228","5,876","6,373","14,897","23,505","37,906","16,387","1,655","1,241","1,821","2,979","2,897","2,648","4,718","7,387","16,299","28,722","13,909","15,668","10,215","5,139","4,223","9,823","12,905","9,338","19,872","15,065","29,912","38,015","18,975","17,666","13,992","8,906","5,703","10,606","10,876","15,305","26,416","27,596","57,732","43,400","18,483",56990,61883
FOTOPROTECTOR,Sun Adult,Heliocare,HELIOCARE AIRGE SP F50  60 ML X 1,"14,018","10,571","8,503","8,043","7,277","4,673","5,592","7,584","5,898","8,579","7,890","11,260","9,958","9,499","5,822","5,822","5,286","1,915","3,141","2,068","5,132","6,588","6,894","8,579","7,584","6,435","3,064","1,915","1,685","2,298","2,987","3,677","4,136","5,362","5,114","4,193","4,471","3,581","2,697","2,258","3,373","1,464","1,693","2,817","1,667","1,963","1,539",845,"1,372",855,690,147,736,,500,325,140,186,,,,,2227,0
FOTOPROTECTOR,Sun Adult,Heliocare,HELIOCARE CAPS   X 60,"37,987","38,967","32,922","29,409","24,426","18,707","22,139","22,710","25,488","25,488","25,651","20,750","18,626","22,792","31,615","23,364","21,322","15,276","18,544","16,992","19,606","25,570","25,815","28,837","30,961","29,327","16,257","13,071","10,048","12,499","12,744","16,665","15,521","21,403","22,579","27,063","27,108","20,930","24,445","17,899","18,592","13,862","21,602","15,324","21,179","24,593","25,313","23,789","24,460","14,738","21,590","21,184","18,041","16,485","19,911","19,351","20,562","25,384","26,975","28,329","29,429","21,915",39198,51344
FOTOPROTECTOR,Sun Adult,Heliocare,HELIOCARE CAPSULAS FCOx60CAP,,,,,,,,,,,"4,336","19,723","24,994","14,622","11,562","8,416","7,396","7,736","7,396","7,906","8,501","5,781","7,226","12,327","13,602","19,213","9,436","4,251","6,291","5,526","6,801","5,781","7,141","8,841","12,323","13,946","16,648","11,941","14,326","12,641","8,150","10,533","11,978","11,374","10,566","15,134","18,346","16,947","15,860","7,095","14,983","17,365","14,518","11,962","13,305","11,914","15,523","16,907","20,792","22,935","18,757","9,723",22955,28480
FOTOPROTECTOR,Sun Adult,Heliocare,HELIOCARE SPRAY SFP 50  200 ML X 1,"129,292","92,456","56,267","30,441","23,964","11,253","23,883","22,264","25,016","67,196","42,989","88,651","75,697","126,863","74,078","36,998","28,903","8,501","24,693","33,112","27,688","45,742","58,129","98,366","123,463","107,595","51,085","6,477","5,343","6,153","10,039","9,958","13,601","29,388","34,052","58,068","82,902","51,330","52,725","21,924","12,767","9,887","26,538","25,267","27,344","48,666","45,865","74,480","85,031","32,014","32,376","31,771","20,370","11,655","24,850","23,482","31,238","47,936","46,035","102,361","53,957","36,594",117045,90551
FOTOPROTECTOR,Sun Adult,Isdin,FOT.ISDIN EXTR 50+ GEL/CREAM X 250ML,,,,,,,,,,,,,,,,,,786,885,,983,,492,492,"1,180","2,163",983,,,,,,590,590,936,,936,"2,340","1,872",936,468,468,"1,404","2,223","1,404","3,159","2,340","2,340","1,404","2,603",,"1,648","1,822","3,392","1,049",780,"1,049","2,097","3,207","3,059","3,758",,4007,3758
FOTOPROTECTOR,Sun Adult,Isdin,FOTOP ISDIN GEL CREAM SPF 50+ TBOX250ML,,,,,,,,,,,,,,,,,"18,573","20,235","35,582","24,536","26,296","37,244","54,840","92,280","131,968","112,319","39,297","7,136","8,016","10,166","13,001","12,513","21,213","72,533","101,838","86,955","126,914","76,062","84,634","33,949","22,337","17,906","44,910","40,582","40,532","74,188","82,148","167,789","245,660","279,076","185,754","115,887","64,771","49,278","89,398","76,862","93,338","132,185","180,560","285,773","369,860","89,273",524736,459133
FOTOPROTECTOR,Sun Adult,Isdin,FOTOP ISDIN HIDRO OIL SPF30 FCOx200ML,,,,,,,,,,,,,,,,,,,,,,,"5,500","37,523","51,307","63,142","17,265","1,323",487,348,"2,088","2,297","5,360","19,910","26,858","36,374","42,653","26,443","34,669","9,604","6,939","5,098","15,556","18,143","15,245","24,516","25,168","58,503","84,388","87,652","28,158","21,308","9,994","8,337","19,619","14,362","17,852","23,177","24,747","69,449","114,304","100,589",172040,214893
FOTOPROTECTOR,Sun Adult,Isdin,FOTOP ISDIN HYDRO LOTION SPF50 FC 200ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,262","64,505","55,117","33,485","17,098","7,119","5,451","13,241","9,674","11,007","17,400","18,209","59,298","98,502","109,580",119622,208082
FOTOPROTECTOR,Sun Adult,Isdin,FOTOP ISDIN TRANS SP.W/S SPF50+ FCx250ML,,,,,,,,,,,,,,,,,,,"1,036",518,,712,"3,043","15,603","15,279","16,510","6,928",583,324,"1,165","1,230","1,295","3,302","15,279","30,237","31,909","35,476","23,387","23,683","12,646","5,086","4,017","12,536","9,376","12,104","17,375","19,937","58,146","110,529","132,374","67,358","31,591","22,579","23,466","39,280","26,041","30,105","38,969","69,660","154,129","231,508","221,143",242903,452651
FOTOPROTECTOR,Sun Adult,Isdin,FOTOP ISDIN TRANSP SPR SPF50+ FCOx250ML,,,,,,,,,,,,,,,,,,,,,,,"4,015","21,619","28,619","14,001","3,603",412,721,309,"1,029",927,"1,441","6,589","6,183","5,650","6,284","2,631","2,581","1,202",545,428,"1,177",441,661,661,"1,935",826,406,171,239,72,,89,,,,,,,,,577,0
FOTOPROTECTOR,Sun Adult,Isdin,"FOTOP.ISD VIAJ SP50+(GEL-CR200+50), PACK","35,388","21,510","13,739","6,661","5,135","2,359","3,192","3,053","3,192","1,527","1,665","3,053","2,498",971,278,139,139,139,139,,139,139,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Isdin,FOTOP.ISDIN HYDRO2 LOT 50+ FCOx200ML,,,,,,,,,,,"3,052","8,902","11,276","17,634","6,528","3,306","1,696","1,526","2,628","1,526","1,696","3,306","2,713","10,258","21,449","18,736","8,393",848,424,678,254,593,"1,441","9,071","13,213","10,605","18,723","12,216","12,884","6,018","1,945","2,242","5,806","3,496","3,664","6,169","3,500","1,474","1,325","1,492",892,517,164,164,177,,75,62,499,,999,499,2817,1498
FOTOPROTECTOR,Sun Adult,Isdin,FOTOP.ISDIN LOC.SP.TRANSP.SPF50+ Fx200ML,428,856,428,,,,143,143,143,,143,,,285,,,,,,,,"2,139",713,143,143,"4,278","1,426",713,,,,,285,,"1,872","1,872","1,872",936,936,"1,872",,936,"1,872",936,156,936,936,"1,872",,"4,717","2,603",,"1,562",521,,,521,,"3,697",,"2,097","2,097",4717,4194
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECT.ISDIN CREM HYD OIL  200 ML X 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,102,,,102,,712,0,712
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECT.ISDIN EX F50+LOC.  125 ML X 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,319,821,411,867,"1,049","2,966",,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECT.ISDIN EX F50GEL-CR  200 ML X 1,"47,061","39,453","25,269","17,472","17,848","8,924","14,560","15,593","21,511","53,543","55,985","96,941","110,374","107,931","87,172","54,013","20,478","4,885","7,045","6,200","31,938","21,511","5,072","11,648","4,321",376,94,,,,188,94,282,376,130,405,204,130,260,130,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECT.ISDIN F A B/U/LF50  200 ML X 1,"13,758","10,900","7,843","5,118","5,051","1,728","4,852","2,792","6,447","11,897","6,181","83,679","12,030","1,795","1,329",532,266,"2,393",798,"2,060","2,526",199,598,465,"4,653",731,465,,,,,,,133,"1,753",424,"1,036","1,364",45,,45,,182,649,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECT.ISDIN FL SO AL F99  50 ML X 1,"7,138","6,948","4,854","3,617","3,141","2,474","4,283","4,473","7,328","8,566","6,377","7,709","7,709","5,615","4,283","3,046","3,521","2,284","4,568","1,332",761,857,381,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECT.ISDIN GEL FUS F50+  100 ML X 1,"7,185","4,254","3,592","2,080","3,592","1,513","1,513","2,080","1,607","3,498","2,552","5,578","5,767","3,781","3,592","2,836","2,174","1,891","1,134","1,891","1,134","3,403","3,214","9,359","12,006","7,941","3,214",662,284,851,"1,229","1,323","3,309","11,344","6,743","6,247","4,826","1,918","2,981","2,196",540,423,806,"1,235",888,"3,262","4,949","2,407","3,299","2,482","1,850","1,120",769,85,544,"1,217",441,"1,842","1,262","2,344","1,172","5,210",5781,6382
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECT.ISDIN LO HYDR F50+  200 ML X 1,,,,,,,,,,"3,609","2,148","24,916","26,721","31,274","21,308","8,592","5,069","1,718","4,811","2,749","3,523","4,725","9,623","21,050","28,267","30,845","7,561",945,687,516,"1,375","1,375","3,179","12,802","15,043","19,353","30,808","20,965","18,297","7,727","2,938","2,862","6,132","4,946","4,599","6,251","4,773","1,707",533,946,"1,458",522,"1,145",507,653,93,749,582,499,"1,997","4,467","7,444",1479,11911
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECT.ISDIN OIL ACT F30  200 ML X 1,"22,368","20,819","12,101","3,441","3,212","1,893","4,244","3,900","5,621","9,521","7,341","30,971","20,131","9,807","12,216","4,301","1,950","1,491","2,753","2,065","1,606","1,262","2,409","1,376","1,491",287,57,115,,,,,,,172,57,0,,0,,,,75,75,151,,75,151,226,75,75,,,,,,,75,,75,75,226,301,301
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECT.ISDIN SP H OIL F30  200 ML X 1,,,,,,,,,,,,,,,,,,,,,,,"1,004","2,074","3,299","1,806",,,,,,,,479,"1,338","1,472","1,966","1,474","1,966",,,70,70,553,61,786,"2,457","1,536","3,256",123,"1,602",721,371,432,458,404,404,135,"2,219","2,988","4,370","4,132",3379,8502
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECT.ISDIN SP T W/S F50  250 ML X 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,"2,170",99,,936,562,,94,94,94,,,94,"1,030",94,"2,808",,,781,,99,,,,,671,"1,786","14,531","6,642",2808,21173
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECT.ISDIN SP.TRANF50+X  200 ML X 1,"26,737","23,876","9,570","2,861","3,453","2,467","3,453","3,355","4,834","10,064","6,117","23,186","35,025","31,868","16,378","3,946","1,973",789,987,296,"2,664","3,256","1,283",592,99,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECTOR HYDRO OIL FPS 30 X 200ML,,,,,,,,,,,,,,,,,,,,,,,,,655,,,,,,,,,,,0,,,0,,,491,,,,,,491,491,,,,,62,,471,,,,"1,480",404,404,491,808
FOTOPROTECTOR,Sun Adult,Isdin,FOTOPROTECTOR ISDIN HYDRO OIL X 200ML,,,,,,,,,,,,,,,,,,,,,,,,,"1,966",655,655,328,,,,,,,491,,983,655,,,,,491,,491,491,983,983,491,865,,,132,741,,,,,807,404,"2,018","1,200",1356,3218
FOTOPROTECTOR,Sun Adult,Isdin,HYDRO LOTION FOTOPR/ISDINx150M,,,,,,,,,,,,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Isdin,ISDIN FOTOP SPORT FPS 50+ ESTUCHE,"13,768","8,536","7,572","2,891","3,029","2,341","2,341","2,203","2,616","3,029","3,442","4,268","3,580",551,688,275,275,138,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,La Roche Posay,ANTHE.XL LCH SPF50+ SP.LA ROCHE FCOx200M,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,La Roche Posay,ANTHEL SP INVISIBLE SPF50+ FCOx200ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,589","3,285","6,587","8,331","10,425","11,581","20,257","32,201","61,212","63,325","36,586","7,424","3,681","2,893","2,298","10,580","12,903","10,944","11,697","11,171","5,259","3,460",906,99911,4366
FOTOPROTECTOR,Sun Adult,La Roche Posay,ANTHEL.SP ACEI.NUTRIT.SPF30 FCOx200ML,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,La Roche Posay,ANTHEL.XL GEL WET SKIN SPF50+ TBOx250ML,"1,136",142,284,,,142,,,284,852,284,"1,705",710,568,426,994,,284,,284,,852,568,710,284,284,,,,,,,,,169,676,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,La Roche Posay,ANTHELIOS BR IN XL F50  200 ML X 1,"53,856","32,545","24,356","14,173","8,714","5,774","9,764","7,769","14,593","11,653","15,538","66,349","65,406","76,638","32,545","13,438","7,664","6,089","13,752","8,924","9,973","15,432","26,351","58,372","62,673","53,436","14,487","2,520","2,835","3,884","6,404","6,929","10,078","21,311","30,980","35,927","45,415","21,777","21,242","8,963","7,848","12,692","13,870","17,075","15,908","11,653","10,461","11,738","6,815","3,577","1,508",647,353,,382,353,118,,235,,,,10392,0
FOTOPROTECTOR,Sun Adult,La Roche Posay,ANTHELIOS XL G W/S F50  250 G X 1,"42,056","31,195","14,524","10,230","8,462","5,178","9,093","7,704","8,967","10,609","13,135","66,683","77,166","60,369","13,892","9,851","6,694","4,168","6,062","3,789","4,925","4,673","15,029","50,265","63,021","54,812","16,039","2,400","2,400","3,536","5,178","3,663","6,946","18,186","37,088","33,002","40,893","30,605","10,919","4,650","6,848","6,559","10,890","5,215","4,128","4,316","1,727","1,381",792,72,140,72,,,,,,,,,,,864,0
FOTOPROTECTOR,Sun Adult,La Roche Posay,ANTHELIOS XL GEL P/HU F50  250 G X 1,"4,255","2,837","4,037",327,"2,182",327,"1,746",,436,"1,527","2,946","2,182","5,237","2,509","3,600",545,327,218,"11,455",218,873,436,"1,091","2,618","7,200","2,509","2,291",,,,,218,,327,"1,792","1,553","1,648","3,414","3,061","1,169",942,,824,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,La Roche Posay,ANTHELIOS XL LO CO 50+  300 ML X 1,"15,542","7,771","2,129","1,277","1,277",532,"1,916","1,171","2,023","1,171","1,171","1,384",958,958,106,,106,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,La Roche Posay,ANTHELIOS XL SP.F50+DE  200 ML X 1,"32,857","20,260","21,834","7,033","4,724","1,890","7,033","4,304","4,409","7,453","9,972","14,591","22,464","44,194","31,387","8,923","5,039","4,304","7,663","3,569","4,304","20,785","12,282","17,636","53,746","32,437","15,326",945,735,"1,575","2,204","1,680","4,199","7,138","9,012","22,462","15,368","4,303","3,380",907,"1,207",919,"1,538","1,160",605,781,550,530,97,,,31,,,,,,,,,,,97,0
FOTOPROTECTOR,Sun Adult,La Roche Posay,"POSTHELIOS HIDRA GEL TBx200ML, PROMO",25,2,0,,,,,0,,0,0,,,6,1,1,1,0,0,0,0,0,0,0,8,8,0,7,2,2,2,1,1,0,0,,,,0,0,0,,0,0,,,,0,0,0,0,,,,0,,,,,,,0,0,0
FOTOPROTECTOR,Sun Adult,Repaskin,"REPASKIN SP TRANP.200+FLUID INV.50, PACK",,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,268,,137,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Solaid,SOLAID CREMA GEL TUBOx125 g PROTEC.SOLAR FPS+50,,,,,,,,,,,,,,,,,"2,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
